"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","genre_1","genre_2","genre_3","genre_4","genre_5"
"No Grey","The Neighbourhood","The Love Collection","2013-12-10",206960,54,0.0509,0.83,0.828,0.00824,0.331,-5.562,0.0494,89.905,9,0,206960,0.665,4,"modern alternative rock","modern rock","pop",NA,NA
"Sadderdaze","The Neighbourhood","Hard To Imagine The Neighbourhood Ever Changing","2018-11-02",245826,59,0.00971,0.414,0.527,5.05e-05,0.145,-4.749,0.0287,120.009,4,0,245826,0.306,4,"modern alternative rock","modern rock","pop",NA,NA
"Wiped Out!","The Neighbourhood","Wiped Out!","2015-10-30",373373,59,0.0113,0.571,0.737,0.000477,0.3,-6.53,0.027,127.975,9,0,373373,0.0656,4,"modern alternative rock","modern rock","pop",NA,NA
"The Sound","The 1975","I like it when you sleep, for you are so beautiful yet so unaware of it","2016-02-26",248879,66,0.085,0.648,0.936,6.93e-06,0.482,-4.745,0.0762,120.708,0,1,248879,0.566,4,"modern alternative rock","modern rock","pop","pov: indie","rock"
"Stop The World I Wanna Get Off With You","Arctic Monkeys","Why'd You Only Call Me When You're High?","2013-09-02",191040,73,0.0537,0.661,0.73,3.44e-05,0.14,-6.779,0.0574,95.027,6,0,191040,0.53,4,"garage rock","modern rock","permanent wave","rock","sheffield indie"
"Female Robbery","The Neighbourhood","I Love You.","2013-04-19",209520,62,0.0071,0.519,0.897,0.539,0.211,-3.167,0.0276,88.113,7,0,209520,0.335,4,"modern alternative rock","modern rock","pop",NA,NA
"Wires","The Neighbourhood","I'm Sorry...","2013-05-08",193080,68,4e-04,0.568,0.569,0.102,0.342,-6.013,0.0329,72.991,7,0,193080,0.266,4,"modern alternative rock","modern rock","pop",NA,NA
"Void","The Neighbourhood","Hard To Imagine The Neighbourhood Ever Changing","2018-11-02",203666,68,0.047,0.534,0.582,0.0328,0.0883,-7.912,0.0401,84.183,5,1,203666,0.346,4,"modern alternative rock","modern rock","pop",NA,NA
"American Money","BØRNS","Dopamine","2015-10-16",260986,67,0.0226,0.542,0.867,0.00347,0.116,-5.26,0.0813,134.984,6,0,260986,0.326,4,"indie poptimism","modern alternative rock","modern rock","pov: indie",NA
"24/7","The Neighbourhood","Hard To Imagine The Neighbourhood Ever Changing","2018-11-02",219973,58,0.00213,0.587,0.744,0.00181,0.114,-4.611,0.0742,118.962,7,0,219973,0.236,4,"modern alternative rock","modern rock","pop",NA,NA
