"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Bola Rebola","Tropkillaz","Bola Rebola","2019-02-22",193440,66,0.22,0.834,0.777,0.00609,0.335,-4.538,0.0593,129.984,5,0,193440,0.865,4,"1OUPXna2MCgAt3VNmXJBtg","afrofuturismo brasileiro","bass trap","funk carioca","pop nacional",NA,NA
"sentaDONA (Remix) s2","Various Artists","sentaDONA (Remix) s2","2022-03-17",125245,56,0.252,0.925,0.454,4.19e-06,0.128,-3.533,0.273,135.02,3,0,125245,0.771,4,"6cS0vHihdIXy77v828qYwR",NA,NA,NA,NA,NA,NA
"Motivation","Normani","Motivation","2019-08-16",193837,71,0.0192,0.599,0.887,1.21e-06,0.3,-3.967,0.0984,170.918,4,1,193837,0.881,4,"0rIAC4PXANcKmitJfoqmVm","pop","r&b",NA,NA,NA,NA
"Shake It (feat. Cardi B, Dougie B & Bory300)","Kay Flock","Shake It (feat. Cardi B, Dougie B & Bory300)","2022-04-15",118249,64,0.0353,0.87,0.835,0,0.142,-5.875,0.311,140.051,1,1,118249,0.901,4,"0RkCnqwF8Tfl2QGPZwopyk","bronx drill","melodic drill","new york drill",NA,NA,NA
"Crying in the Club","Camila Cabello","Crying in the Club","2017-05-18",216391,72,0.334,0.334,0.617,0,0.163,-5.834,0.383,85.227,6,0,216391,0.603,4,"1SJtlNRJDeYHioymcvsqev","dance pop","pop",NA,NA,NA,NA
"MODO TURBO","Luísa Sonza","DOCE 22","2021-07-18",150259,63,0.334,0.655,0.726,3.13e-06,0.232,-7.628,0.0796,160.064,10,0,150259,0.766,4,"2ip4hxYupn3CSsHjn4l2a8","funk carioca","pop nacional",NA,NA,NA,NA
"Bridges","Fifth Harmony","Fifth Harmony","2017-10-29",243266,38,0.0828,0.681,0.705,0,0.325,-4.087,0.026,109.969,11,0,243266,0.43,4,"7yVVJTkIQcDXHIkPGFtBKb","girl group","pop","talent show",NA,NA,NA
"Woman Like Me (feat. Nicki Minaj)","Little Mix","LM5 (Deluxe)","2018-11-16",229720,69,0.177,0.754,0.854,0,0.0808,-3.449,0.0608,75.002,5,0,229720,0.8,4,"222B3aljXx6fFwKmFjuBED","girl group","pop","talent show","uk pop",NA,NA
"Have Mercy","Chlöe","Have Mercy","2021-09-10",148778,71,0.297,0.903,0.535,0,0.345,-6.434,0.0742,130.022,9,1,148778,0.508,4,"5SixeLvPsYpk7qq9lo5xYg","contemporary r&b",NA,NA,NA,NA,NA
"pov","Ariana Grande","Positions","2020-10-30",201882,76,0.36,0.487,0.534,0,0.1,-5.664,0.0555,131.798,0,0,201882,0.173,4,"3UoULw70kMsiVXxW0L3A33","pop",NA,NA,NA,NA,NA
"Don't Wanna Say","Lauren Jauregui","PRELUDE","2021-11-05",201280,41,0.673,0.517,0.444,0.00163,0.188,-8.65,0.0496,113.518,4,1,201280,0.187,4,"2rpscsZlM91Gb8ooKYBNup","r&b",NA,NA,NA,NA,NA
"Cut You Off","Little Mix","Between Us (The Mixers Edition)","2021-11-11",173653,27,0.0432,0.71,0.757,0,0.0513,-3.845,0.123,115.042,0,1,173653,0.648,4,"5Fpd23MPNCQ8xH2Q1CPhSG","girl group","pop","talent show","uk pop",NA,NA
"Lobby","Anitta","Lobby","2022-08-18",157837,57,0.0477,0.759,0.711,1.19e-06,0.143,-5.199,0.0384,111.902,0,1,157837,0.436,4,"7DByUXWmz1lQau0HLmdg1v","funk pop","funk rj","pagode baiano","pop","pop nacional",NA
"Havana - Live","Camila Cabello","Havana (Live)","2018-09-21",248572,39,0.114,0.641,0.776,0.000134,0.362,-5.176,0.0359,104.956,0,0,248572,0.419,4,"6JPUEloc0qDkustwyWHEpN","dance pop","pop",NA,NA,NA,NA
"La Prendo","Bad Gyal","La Prendo","2022-05-26",181986,64,0.0464,0.917,0.776,5.54e-05,0.08,-2.248,0.154,114.941,9,0,181986,0.656,4,"6t48UVZvQWh5wWfWlCZfzY","neoperreo","rap catala","rap latina","trap catala","urbano espanol",NA
