"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"Il mondo è come te lo metti in testa - Remastered 2022","Giovanni Truppi","Tutto l’universo","2022-08-01",182120,30,0.127,0.529,0.544,0,0.0827,-6.577,0.0753,78.073,10,0,182120,0.326,4,"15T4s9uLXOXutJMMxzyqbn","italian alternative","italian indie pop",NA,NA,NA,NA,NA
"Amara","Enzo Carella","Barbara e altri Carella","1979",216133,32,0.514,0.579,0.756,7.53e-05,0.0771,-9.337,0.0427,106.568,9,0,216133,0.93,4,"55d5MmaUK54A1XfZ7t55d3","canzone d'autore",NA,NA,NA,NA,NA,NA
"Un'Altra Vita - Remastered","Franco Battiato","Orizzonti Perduti (2008 Remastered Edition)","1983",225333,40,0.4,0.579,0.397,0,0.0778,-10.308,0.028,134.149,6,1,225333,0.489,4,"644qbOGNXiuOx23uCjXBaT","classic italian pop","experimental","italian adult pop",NA,NA,NA,NA
"Meno male che ci sei tu","Sick Tamburo","Un giorno nuovo","2017-04-13",229480,34,0.0213,0.429,0.963,0.0223,0.195,-4.182,0.0415,176.106,4,1,229480,0.234,4,"3tGuxy69PlRmu7DCWVpKfr","italian alternative","italian indie pop",NA,NA,NA,NA,NA
"Sensibile","Offlaga Disco Pax","Bachelite","2008-02-04",349173,29,0.0961,0.648,0.341,0.188,0.04,-10.537,0.0418,162.108,9,1,349173,0.784,4,"3zt0XfjJqbtUDuCHBEhFzs","italian alternative",NA,NA,NA,NA,NA,NA
"Ancora tu - Remastered","Lucio Battisti","Lucio Battisti, la batteria, il contrabbasso, eccetera","1976",284120,54,0.0681,0.66,0.726,4.23e-05,0.168,-12.054,0.0705,111.394,11,0,284120,0.691,4,"5vghFB2WeXjQaF8FtMDJja","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA
"Tuo padre, mia madre, Lucia","Giovanni Truppi","Tuo padre, mia madre, Lucia","2022-02-02",228706,26,0.724,0.348,0.59,0,0.312,-6.093,0.0722,76.535,9,0,228706,0.55,4,"14FAAlZJ36VMPIF7yHV3mg","italian alternative","italian indie pop",NA,NA,NA,NA,NA
"CONDIZIONI METEO CRITICHE","GIALLORENZO","MILANO POSTO DI MERDA","2019-09-27",126593,30,0.711,0.54,0.773,5.14e-06,0.267,-6.508,0.042,131.96,0,1,126593,0.546,4,"5EvQUZ0KyX32kXhYgshtf9","italian indie pop",NA,NA,NA,NA,NA,NA
"Il posto più freddo","I Cani","Aurora","2016-01-29",288333,52,0.575,0.665,0.47,0.000975,0.35,-7.033,0.0328,76.984,7,1,288333,0.31,4,"3qymmynl9HTSIHQZ81g1KH","italian alternative","italian indie pop","rome indie",NA,NA,NA,NA
"Ho Visto Un Re","Enzo Jannacci","Enzo Jannacci - I Miti","2000-09-01",239906,45,0.485,0.745,0.61,0,0.344,-9.333,0.309,139.304,2,1,239906,0.897,4,"2ZVohWP6HSpLeoXGvcQWgh","canzone d'autore","classic italian pop","folk rock italiano","italian adult pop","musica lombarda",NA,NA
"Prospettiva Nevski - Remastered 2008","Franco Battiato","Patriots (2008 Remastered Edition)","1980",240106,45,0.578,0.609,0.486,0,0.0494,-7.78,0.0372,102.299,2,1,240106,0.386,4,"4xmkAhvaddFvS02a5Rc7Mr","classic italian pop","experimental","italian adult pop",NA,NA,NA,NA
