"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13"
"FARSI MALE A NOI VA BENE","bnkr44","FARSI MALE A NOI VA BENE","2021-11-25",210120,26,0.49,0.495,0.583,0,0.0601,-9.172,0.0962,155.956,9,1,210120,0.362,4,"5jyLuKDNy590NIm9thsxRF","hyperpop italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Una Cosa Sola (feat. Shablo)","Irama","Il giorno in cui ho smesso di pensare","2022-07-01",178285,27,0.0635,0.795,0.812,0,0.114,-4.329,0.0505,104.989,0,1,178285,0.605,4,"4TNVpkVnqjkOXhGEWNigss","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dedicato A Te","Le Vibrazioni","Le Vibrazioni","2003-05-12",208466,62,0.224,0.491,0.769,0,0.0971,-7.575,0.0275,98.039,0,1,208466,0.349,4,"4DxU9yKktJVQXhcLxjh67j","classic italian pop","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gente che spera (feat. Reverendo)","Articolo 31","Domani smetto","2002-03-22",248546,54,0.611,0.692,0.701,0,0.0757,-4.048,0.113,92.913,0,1,248546,0.96,4,"31cPyWXo1UdKJsEt4PEWDQ","italian adult pop","italian underground hip hop","rap italiano old school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A un passo da te","MINACELENTANO","Le migliori","2016-11-11",271360,57,0.239,0.64,0.862,0,0.0891,-2.796,0.356,181.711,5,0,271360,0.459,4,"7rl7TNsfJiJJ3BY47peVSm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big City Life","Mattafix","Signs Of A Struggle","2005",240893,68,0.0175,0.7,0.62,3.3e-06,0.0891,-9.36,0.0797,173.998,2,1,240893,0.739,4,"2oHsYkh2Vc9OXRyLXLUinC","reggae fusion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OSSA ROTTE","Rkomi","OSSA ROTTE","2022-06-16",205621,40,0.0361,0.588,0.826,0,0.134,-4.211,0.242,93.146,1,1,205621,0.597,4,"4cvyHBayAxsUTXjv717mVL","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sei ottavi","Rino Gaetano","Aida","1977-03-21",199866,51,0.679,0.481,0.353,0,0.149,-14.957,0.0349,97.387,8,1,199866,0.662,4,"4g6BNLYlAei2bppoe5Z3gK","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ciao Ciao","La rappresentante di lista","Ciao Ciao","2022-02-02",184311,58,0.125,0.747,0.819,2.61e-06,0.331,-4.602,0.134,117.994,4,0,184311,0.637,4,"0jLeyuu6mtsD384054xLah","indie siciliano","italian adult pop","italian alternative","italian indie pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"Cooped Up (with Roddy Ricch)","Post Malone","Cooped Up","2022-05-12",185857,68,0.038,0.669,0.773,0,0.113,-5.619,0.153,93.923,0,1,185857,0.377,4,"7DwcBgdzqhFJltEaV1XF81","dfw rap","melodic rap","pop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOGNI MATTI (feat. Leon Faun & Drast)","Sick Luke","X2","2022-01-07",197009,55,0.229,0.513,0.655,0,0.208,-5.732,0.278,80.589,7,1,197009,0.297,4,"3eSSVIw9YbVm1SLNxqtdjR","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vieni nel mio cuore","Ultimo","Vieni nel mio cuore","2022-05-25",172761,58,0.248,0.677,0.66,0,0.177,-7.104,0.0462,127.087,1,1,172761,0.253,4,"0OHD6Ask31KqVqxge0OwlG","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PER AVERTI (feat. Rkomi)","Dylan","PER AVERTI (feat. Rkomi)","2022-09-01",207058,47,0.0399,0.698,0.675,0,0.406,-5.158,0.145,124.932,5,0,207058,0.679,4,"6oHLm5t10rVyFzTdYu0xGx","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poi si romperanno","chiello","OCEANO PARADISO","2021-10-14",167668,41,0.196,0.546,0.807,0,0.0934,-6.825,0.0441,169.997,11,1,167668,0.558,4,"33sckT4uvJVp7cHITx8f2E","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Veleno","Guè","GVESVS","2021-12-10",194106,62,0.24,0.793,0.772,3.15e-06,0.145,-6.005,0.0422,94.998,2,1,194106,0.674,4,"5b5LAmQZx3mKmhL7PQGegi","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heat Waves","Glass Animals","Dreamland","2020-08-07",238805,91,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,11,1,238805,0.531,4,"3USxtqRwSYz57Ewm6wWRMp","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA,NA,NA,NA,NA,NA,NA,NA
"Diavolo (con Ghali, Rkomi, Tedua & bnkr44)","Night Skinny","Botox","2022-10-04",230483,54,0.158,0.712,0.657,0,0.14,-6.965,0.143,90.022,9,1,230483,0.557,4,"0CPailVeTy4L39Zaiuopap","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vanchiglia","Errico Canta Male","Quartieri, Vol. 1","2016",212626,31,0.313,0.617,0.949,0,0.194,-5.12,0.0539,130.197,0,1,212626,0.718,4,"39IDCj1BPtxvtyzqMoOblA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Come A Little Closer","Cage The Elephant","Melophobia","2013-10-08",229346,71,0.0265,0.44,0.778,1.04e-06,0.151,-1.786,0.0327,148.038,1,0,229346,0.304,4,"7oWbeO9v3Cfs900q7JhLAs","modern alternative rock","modern rock","pov: indie","punk blues","rock",NA,NA,NA,NA,NA,NA,NA,NA
"Tazza di te","Galeffi","Scudetto","2017-11-24",145176,51,0.0913,0.73,0.655,0,0.0772,-5.182,0.141,149.942,0,1,145176,0.246,4,"0vrmJ3WdKnbBhtMszRS1Fq","italian indie pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blu","Postino","Latte di soia","2018-07-06",231853,48,0.229,0.469,0.533,0,0.105,-5.58,0.0321,76.039,9,0,231853,0.142,4,"58Tml7P9dP7aGplLopXFds","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visti Dall'Alto (feat. Dardust)","Rkomi","Dove Gli Occhi Non Arrivano","2019-03-22",196253,52,0.139,0.44,0.587,0,0.0903,-8.337,0.0851,83.39,10,0,196253,0.594,4,"50Im1CDeBfRbJUPacCEIOS","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypnotized","Purple Disco Machine","Hypnotized","2020-04-08",195657,67,0.0968,0.69,0.813,0.000324,0.109,-5.084,0.0997,108.078,11,0,195657,0.704,4,"0vWUhCPxpJOJR5urYbZypB","deep house","house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eclissi (feat. Neffa)","Gemitaiz","Eclissi","2022-05-12",160457,52,0.288,0.607,0.551,0.0138,0.165,-6.964,0.0804,175.033,1,0,160457,0.24,4,"2hgeR92aGWwz0ymQfwbIk8","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sbatti","Gazzelle","Punk","2018-11-30",197293,55,0.0569,0.59,0.72,0,0.242,-3.418,0.031,75.983,3,1,197293,0.588,4,"35B5JfaaAYdlOdiZ0NE6QX","italian adult pop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I'm Good (Blue)","David Guetta","I'm Good (Blue)","2022-08-26",175238,92,0.00383,0.561,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,7,0,175238,0.304,4,"4uUG5RXrOk84mYEfFvj3cK","big room","dance pop","edm","pop","pop dance",NA,NA,NA,NA,NA,NA,NA,NA
