"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"Symphony No. 3 in F Major, Op. 90: III. Poco allegretto","Johannes Brahms","Brahms: Symphonies 1-4","2011-09-12",374733,54,0.965,0.0818,0.0218,0.841,0.104,-28.778,0.0409,172.879,0,0,374733,0.0616,3,"4Weo3vMehKR84QR3gEgwm8","classical","german romanticism","late romantic era",NA,NA,NA,NA,NA,NA
"Die Fledermaus: Overture","Johann Strauss II","Strauss: Die Fledermaus","1976-01-01",460000,45,0.932,0.386,0.239,0.776,0.0548,-14.492,0.0453,109.209,2,1,460000,0.199,3,"6FbPeP7zBqDfWUFSotbmUq","classical","late romantic era","operetta",NA,NA,NA,NA,NA,NA
"The Boxer","Simon & Garfunkel","Bridge Over Troubled Water","1970-01-26",308520,73,0.702,0.439,0.488,0.000339,0.16,-14.464,0.0615,93.017,11,1,308520,0.629,4,"76TZCvJ8GitQ2FA1q5dKu0","classic rock","folk","folk rock","melancholia","mellow gold","rock","soft rock",NA,NA
"Paper Rings","Taylor Swift","Lover","2019-08-23",222400,86,0.0129,0.811,0.719,1.36e-05,0.0742,-6.553,0.0497,103.979,9,1,222400,0.865,4,"4y5bvROuBDPr5fuwXbIBZR","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Les Troyens, H 133 / Act V: ""Ah! Ah! Je vais mourir ... Adieu, fière cité""","Elina Garanca","Revive","2016-11-04",405426,16,0.99,0.18,0.0961,0.00791,0.105,-23.173,0.0542,80.24,8,1,405426,0.0333,3,"403xEAs9KTvdWvJlsEBQni","classical mezzo-soprano","opera",NA,NA,NA,NA,NA,NA,NA
"This Feeling","Alabama Shakes","Sound & Color","2015-04-20",268853,48,0.844,0.625,0.334,0.00458,0.113,-11.514,0.0361,130.823,7,1,268853,0.306,4,"6NyJTEbcYMoq00ANbH0bvC","alabama indie","modern blues rock","rock",NA,NA,NA,NA,NA,NA
"traitor","Olivia Rodrigo","SOUR","2021-05-21",229226,88,0.691,0.38,0.339,0,0.12,-7.885,0.0338,100.607,3,1,229226,0.0849,4,"5CZ40GBx1sQ9agT82CLQCT","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Come Back...Be Here (Taylor's Version)","Taylor Swift","Red (Taylor's Version)","2021-11-12",223333,74,0.0158,0.46,0.632,0,0.0822,-6.031,0.0302,79.846,4,1,223333,0.399,4,"4pNApnaUWAL2J4KO2eqokq","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Only the Good Die Young","Billy Joel","The Stranger (Legacy Edition)","1977",235560,70,0.159,0.579,0.872,0,0.0935,-6.126,0.159,76.214,0,1,235560,0.761,4,"1xOXXYh6lTW8laxlW7JP2J","album rock","classic rock","heartland rock","mellow gold","piano rock","rock","singer-songwriter","soft rock",NA
"Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By","Rihanna","Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)","2022-10-28",196519,77,0.899,0.247,0.299,0,0.131,-6.083,0.0315,177.115,9,1,196519,0.172,4,"35ovElsgyAtQwYPYnZJECg","barbadian pop","pop","urban contemporary",NA,NA,NA,NA,NA,NA
"Motion Sickness","Phoebe Bridgers","Stranger in the Alps","2017-09-22",229760,80,0.774,0.651,0.546,0.0437,0.0842,-9.021,0.0357,107.021,1,1,229760,0.623,4,"5xo8RrjJ9CVNrtRg2S3B1R","indie pop","la indie","pov: indie",NA,NA,NA,NA,NA,NA
"ivy","Taylor Swift","evermore (deluxe version)","2021-01-07",260440,72,0.855,0.515,0.545,1.97e-05,0.0921,-9.277,0.0353,88.856,2,1,260440,0.535,4,"43Ykum9T72UOPhBN31grpN","pop",NA,NA,NA,NA,NA,NA,NA,NA
