"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"Sticky","Drake","Honestly, Nevermind","2022-06-17",77,0.0917,0.853,0.495,0.000217,0.0844,-14.63,0.14,137.027,6,1,243227,0.0774,4,"4rmVZajAF7PkrCagGPHbqa","canadian hip hop","canadian pop","hip hop","pop rap","rap",NA,NA,NA,NA
"LAUREA AD HONOREM (feat. Calcutta)","Marracash","NOI, LORO, GLI ALTRI","2021-11-19",64,0.485,0.614,0.464,0,0.0812,-8.473,0.0803,152.092,9,1,195799,0.293,4,"0WgVvy1KelQxG6KBUukTWI","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA,NA
"Tití Me Preguntó","Bad Bunny","Un Verano Sin Ti","2022-05-06",87,0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,106.672,5,0,243716,0.187,4,"1IHWl5LamUGEuP4ozKQSXZ","reggaeton","trap latino","urbano latino",NA,NA,NA,NA,NA,NA
"Girotondo","Germo67","Girotondo","2021-06-10",13,0.18,0.854,0.731,0,0.128,-6.07,0.0602,120.029,5,0,185480,0.382,4,"2Y4GMxK56GGvFiDvcjjhQf","r&b italiano",NA,NA,NA,NA,NA,NA,NA,NA
"Morto di fame (feat. Lazza)","Emis Killa","Keta Music, Vol. 3","2021-07-23",52,0.0265,0.503,0.874,0,0.532,-5.366,0.149,87.728,11,0,163362,0.686,4,"4hqi818jHZUJIbJ6OJllGI","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"Birthday Sex","Jeremih","Jeremih","2009-01-01",74,0.295,0.677,0.523,0,0.15,-5.603,0.0439,60.019,7,0,226506,0.446,4,"16XNk3bVCSHXN1rlwbXtHb","chicago rap","pop rap","r&b","trap","urban contemporary",NA,NA,NA,NA
"MIA","Bad Bunny","X 100PRE","2018-12-23",79,0.0142,0.816,0.538,0.000496,0.099,-6.354,0.0617,97.054,6,0,210367,0.156,4,"3gE4eQH3K83Sght0ZLvuBK","reggaeton","trap latino","urbano latino",NA,NA,NA,NA,NA,NA
"Seventeen Going Under","Sam Fender","Seventeen Going Under (Deluxe)","2021-10-08",71,0.00438,0.48,0.87,0.00603,0.0826,-4.792,0.0362,161.953,1,1,297933,0.584,4,"5rF6YUIlgiat22OT1lWspJ","modern rock","north east england indie",NA,NA,NA,NA,NA,NA,NA
"Formation","Beyoncé","Lemonade","2016-04-23",74,0.00532,0.896,0.621,0,0.196,-6.857,0.237,121.966,5,0,206080,0.818,4,"6g0Orsxv6glTJCt4cHsRsQ","pop","r&b",NA,NA,NA,NA,NA,NA,NA
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007","Amy Winehouse","Back To Black (Deluxe Edition)","2006",77,0.744,0.772,0.371,0,0.167,-5.743,0.0348,96.574,5,0,233733,0.684,4,"6nLvaCZFR1wEzW3sIKpsnr","british soul","neo soul",NA,NA,NA,NA,NA,NA,NA
"Bong Bing","Laa Lee","Bong Bing","2022-03-07",52,0.0137,0.938,0.713,1.58e-06,0.133,-5.78,0.201,119.015,6,1,168394,0.63,4,"2Nk5EgP9wXa3bpTU8V4i5t","dancehall","jamaican dancehall","traphall",NA,NA,NA,NA,NA,NA
"Bam Bam (feat. Ed Sheeran)","Camila Cabello","Familia","2022-04-07",77,0.182,0.756,0.697,0,0.333,-6.377,0.0401,94.996,8,1,206070,0.956,4,"2DB4DdfCFMw1iaR6JaR03a","dance pop","pop",NA,NA,NA,NA,NA,NA,NA
"SENZA FIATO ཀརྨ (con VENERUS & JOAN THIELE)","MACE","OBE","2021-06-17",33,0.477,0.735,0.584,1.18e-05,0.16,-6.643,0.0652,119.055,10,0,211506,0.423,4,"0Cyqd22UxsDobKAtYvgDbE","funk carioca","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"Soundgasm","Rema","Soundgasm","2021-06-10",66,0.119,0.805,0.525,0.00203,0.0779,-7.376,0.0638,100.033,6,0,204755,0.693,4,"5c549LWiKCWGvcDsZwMN6v","afrobeats","nigerian pop",NA,NA,NA,NA,NA,NA,NA
"Punkabbestia","NASKA","Punkabbestia","2021-10-01",35,0.00282,0.511,0.962,0,0.38,-4.03,0.29,168.218,0,1,160357,0.482,4,"1gNJOIiZyHhcfGwDL3CXR8","emo rap italiano",NA,NA,NA,NA,NA,NA,NA,NA
"Renè & Francis","Emis Killa","17","2020-09-18",48,0.249,0.813,0.907,1.22e-06,0.146,-3.591,0.133,103.035,1,1,176794,0.44,4,"1xg3kuOWt3OXvI3TscVDaQ","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"Stay Close","Barney Artist","Painting Sounds","2016-04-29",56,0.317,0.869,0.647,2.24e-05,0.181,-8.547,0.349,110.135,1,0,156687,0.325,3,"6KugjM6PRQO7eqLo9AfWiL","indie soul","uk alternative hip hop",NA,NA,NA,NA,NA,NA,NA
"Diamonds (with Normani)","Megan Thee Stallion","Diamonds (with Normani)","2020-01-10",51,0.188,0.785,0.753,1.01e-06,0.265,-3.841,0.0873,94.012,1,1,199301,0.488,4,"0PQsrLxPbOBBwwmXCnGvcF","houston rap","pop","r&b","rap","trap queen",NA,NA,NA,NA
