"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11"
"Even In The Quietest Moments","Supertramp","Even In The Quietest Moments","1977-01-01",56,0.338,0.431,0.598,0.000129,0.131,-7.406,0.0288,132.392,7,1,386106,0.476,4,"4PqGEhQlHBczN9hBbui8eY","album rock","art rock","classic rock","glam rock","mellow gold","piano rock","progressive rock","rock","soft rock","symphonic rock",NA
"TAKE A CHANCE (feat. Anderson .Paak)","DOMi & JD BECK","TAKE A CHANCE (feat. Anderson .Paak)","2022-07-06",41,0.825,0.476,0.779,0.26,0.155,-9.189,0.163,156.655,1,1,264412,0.469,4,"3Fo54IlOlnwzMwGjjEqCzN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","Kendrick Lamar","i","2014-09-23",66,0.0208,0.755,0.884,2.97e-06,0.248,-5.296,0.0638,121.927,10,0,231933,0.897,4,"7wdzLe2Gsx1RGqbvYZHASz","conscious hip hop","hip hop","rap","west coast rap",NA,NA,NA,NA,NA,NA,NA
"Voyager","Daft Punk","Discovery","2001-03-12",64,0.288,0.669,0.743,0.805,0.309,-11.488,0.0494,119.881,7,1,227866,0.28,4,"7cMFjxhbXBpOlais7KMF3j","electro","filter house","rock",NA,NA,NA,NA,NA,NA,NA,NA
"Won't Get Fooled Again - Original Album Version","The Who","Who's Next (Deluxe Edition)","1971-08-14",68,0.301,0.686,0.92,0.27,0.0807,-6.231,0.0566,135.027,2,1,511400,0.225,4,"0cJPLFrlV7TTCyPLupHzcH","album rock","british invasion","classic rock","hard rock","rock",NA,NA,NA,NA,NA,NA
"Demain","Caballero & JeanJass","High & Fines Herbes","2020-04-09",47,0.0514,0.839,0.559,0,0.0946,-7.501,0.0796,88.515,4,0,158213,0.332,4,"1nsj29bpJSQxDu9y5yRE85","belgian hip hop","french hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Every Breath You Take","Various Artists","Stranger Things (Soundtrack from the Netflix Original Series)","2017-10-27",67,0.559,0.822,0.478,0.0073,0.0813,-8.746,0.0343,117.394,1,1,251573,0.722,4,"0SNGe4xksgp7CGnY5kMXOJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Favourite Boy","Half Moon Run","A Blemish In The Great Light","2019-11-01",39,0.000552,0.563,0.724,7.76e-06,0.0811,-5.498,0.0311,132.943,0,1,242253,0.817,4,"1PITPX6mHddaf4oXuV5yLq","canadian indie","indie folk","quebec indie",NA,NA,NA,NA,NA,NA,NA,NA
"The Count (feat. Wiz Khalifa)","Curren$y","The Marina","2018-05-30",65,0.709,0.385,0.757,0,0.235,-5.96,0.167,82.673,0,1,194594,0.469,4,"171PWhxgdrIOgcAiBPO3Gr","dirty south rap","new orleans rap","rap","southern hip hop",NA,NA,NA,NA,NA,NA,NA
"Manifeste","Orelsan","Civilisation","2021-11-19",47,0.462,0.542,0.655,0,0.247,-7.814,0.422,92.029,1,1,442249,0.559,4,"0dhZSfQGvCPaJQKlPtjrt2","french hip hop","old school rap francais","rap conscient",NA,NA,NA,NA,NA,NA,NA,NA
