"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"FINIMONDO","M¥SS KETA","FINIMONDO","2022-05-05",54,0.033,0.796,0.842,5.2e-05,0.178,-6.94,0.231,126.008,7,1,171904,0.691,4,"0JbzHTWp24Fe1l7NBzzp4p","italian indie pop","italian pop",NA,NA,NA,NA,NA
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg","Young, Wild & Free (feat. Bruno Mars)","2011-10-11",79,0.0525,0.715,0.655,0,0.115,-6.425,0.137,95.078,0,1,207333,0.531,4,"5HQVUIKwCEXpe7JIHyY734","g funk","gangster rap","hip hop","pop rap","rap","west coast rap",NA
"Amnésie","Vegas Jones","Amnésie","2022-05-13",47,0.25,0.666,0.846,8.56e-05,0.499,-5.483,0.226,106.906,7,1,145230,0.656,4,"4jPiukdGJPUdD9aEIfEL4x","italian hip hop",NA,NA,NA,NA,NA,NA
"Dentro di me","Ariel","Dentro di me","2021-11-04",1,0.196,0.723,0.667,4.45e-06,0.0753,-5.401,0.0479,95.006,10,1,157949,0.741,4,"3ncvXgGjBaw8zlyZoUjgj6",NA,NA,NA,NA,NA,NA,NA
"DOWNTOWN (feat. Lil Busso)","Novelo","CARO MOSTRO","2021-12-03",24,0.19,0.552,0.619,0,0.0968,-5.534,0.0459,165.951,3,1,136766,0.692,3,"25XPtbNSDgCzvWOPZQUGNl",NA,NA,NA,NA,NA,NA,NA
"SOGNI MATTI (feat. Leon Faun & Drast)","Sick Luke","X2","2022-01-07",55,0.229,0.513,0.655,0,0.208,-5.732,0.278,80.589,7,1,197009,0.297,4,"3eSSVIw9YbVm1SLNxqtdjR","italian hip hop","trap italiana",NA,NA,NA,NA,NA
"POLKA 3","Rosa Chemical","POLKA 3","2022-06-02",47,0.0351,0.72,0.78,0,0.146,-5.173,0.279,124.046,5,1,160645,0.666,4,"2vAyFmd5LfkSCIHA8uuya1","italian hip hop","italian pop",NA,NA,NA,NA,NA
"K.O. (feat. Coez & Marracash)","Gemitaiz","Eclissi","2022-05-12",52,0.183,0.797,0.579,8.81e-05,0.178,-6.094,0.25,86.979,1,0,190810,0.344,4,"7sYJw5AwPw30ZyLdvuEtg0","italian hip hop",NA,NA,NA,NA,NA,NA
"Fumo pensando a te","Tredici Pietro","Solito posto, Soliti guai","2022-04-21",35,0.0864,0.812,0.676,0,0.203,-5.125,0.108,129.996,6,0,166181,0.595,4,"06BkE1WCoX14LJyqT8or7o","italian hip hop",NA,NA,NA,NA,NA,NA
"Mai Più","Rkomi","Io In Terra","2017-09-08",45,0.0527,0.58,0.839,0,0.102,-4.623,0.0578,107.067,10,1,223266,0.344,4,"1JEsJvSxeh1svbRuikxRBE","italian hip hop","italian pop",NA,NA,NA,NA,NA
