"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"Perché piangi Palermo","Dov'è Liana","Perché piangi Palermo","2020-05-06",46,0.13,0.859,0.485,0.0207,0.0796,-10.934,0.0618,119.995,4,0,349133,0.901,4,"5akutvcrcoQwAc5EW8fTXo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Window Shopper","50 Cent","Best Of 50 Cent","2017-03-31",47,0.124,0.535,0.632,0,0.325,-7.057,0.201,174.317,5,0,190293,0.478,4,"58IeuSOYA1gXyB8rDpYzc3","east coast hip hop","gangster rap","hip hop","pop rap","queens hip hop","rap",NA,NA,NA
"Starboy","The Weeknd","Starboy","2016-11-25",94,0.141,0.679,0.587,6.35e-06,0.137,-7.015,0.276,186.003,7,1,230453,0.486,4,"7MXVkk9YMctZqd1Srtv4MB","canadian contemporary r&b","canadian pop","pop",NA,NA,NA,NA,NA,NA
"Sert Legend 2017","AFA","Verona City Stories","2021-12-24",3,0.588,0.857,0.584,0.00553,0.719,-7.354,0.267,102.475,4,0,215957,0.492,4,"73CDU2yzPswxTaL6AzmppX",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hurricane","Kanye West","Donda","2021-08-29",74,0.0466,0.587,0.561,0,0.109,-6.569,0.146,80.009,0,1,243187,0.351,4,"6Hfu9sc7jvv6coyy2LlzBF","chicago rap","hip hop","rap",NA,NA,NA,NA,NA,NA
"Do It Again","Steely Dan","Can't Buy A Thrill","1972-11-01",72,0.343,0.655,0.431,9.5e-06,0.0711,-15.18,0.032,124.588,2,0,357041,0.941,4,"2LXISHBkx8FyoxCBkckh19","album rock","classic rock","country rock","folk rock","mellow gold","rock","soft rock","yacht rock",NA
"SPARA – prod Drone126","Ketama126","KETY REBORN","2020-07-03",23,0.00546,0.628,0.54,4.2e-06,0.145,-8.278,0.0513,134.042,9,1,219675,0.146,4,"5S7YZu1W5uPaVU7RfymSfZ","drill italiana","emo rap italiano","italian hip hop","trap italiana",NA,NA,NA,NA,NA
"Englishman In New York","Sting","...Nothing Like The Sun","1987-01-01",74,0.396,0.674,0.347,1.05e-05,0.0916,-17.707,0.0364,102.013,9,1,267266,0.647,4,"4KFM3A5QF2IMcc6nHsu3Wp","permanent wave","soft rock","sophisti-pop",NA,NA,NA,NA,NA,NA
"Just Another Day in Compton","Various Artists","G-Funk Way of Life: Ghetto Hits","2000-11-07",34,0.00812,0.641,0.77,0,0.101,-5.804,0.275,86.3,6,0,249930,0.785,4,"3GCFSWC251iFhSAtnmhHxE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"So Will Be Now...","John Talabot","Fin","2012-01-27",36,0.235,0.808,0.743,0.00119,0.509,-9.04,0.0363,116.981,1,1,415053,0.527,4,"2jpV3AxjRVaV5FMcD1FBmI","balearic","electronica","float house","future garage","microhouse","minimal techno",NA,NA,NA
"PIÙ FORTE","Ketama126","KETY","2019-10-18",34,0.0304,0.658,0.774,0,0.0951,-6.315,0.113,142.93,8,0,162425,0.677,4,"78wkuH6yO8glW8drfugJDd","drill italiana","emo rap italiano","italian hip hop","trap italiana",NA,NA,NA,NA,NA
"MORE LOVE","Moderat","MORE D4TA","2022-05-13",48,0.463,0.519,0.853,0.785,0.151,-8.676,0.0328,150.05,11,0,276689,0.334,4,"64rYiYzQNM4uRx6m03Uv9J","electronica","indietronica",NA,NA,NA,NA,NA,NA,NA
"Zenith","Denzel Curry","Imperial","2016-10-14",53,0.0871,0.594,0.705,0,0.154,-5.276,0.0966,91.715,3,0,242889,0.21,4,"67T0J1IDGgRwNMp3vWYaVb","dark trap","drill","hip hop","miami hip hop","pop rap","rap","trap","underground hip hop",NA
"Heaven Takes You Home (feat. Connie Constance)","Swedish House Mafia","Paradise Again","2022-04-15",80,0.0124,0.665,0.738,0.00598,0.0923,-5.931,0.0379,125.037,0,0,214071,0.0389,4,"3nEHrvNNtgLv9rneTAYVr4","edm","pop dance","progressive electro house",NA,NA,NA,NA,NA,NA
"Fiocco dineve","Ketama126","Oh Madonna","2017-08-04",29,0.337,0.869,0.435,3.85e-05,0.116,-8.949,0.075,131.991,9,0,174545,0.292,4,"4cbXB9zSozXyedtQc13L4w","drill italiana","emo rap italiano","italian hip hop","trap italiana",NA,NA,NA,NA,NA
"Atlas","Bicep","Isles","2021-01-22",55,0.1,0.544,0.793,0.95,0.173,-6.424,0.0319,128.981,3,0,348306,0.126,4,"54TgI46OnNqcf0SyzQyCL6","ambient house","electronica",NA,NA,NA,NA,NA,NA,NA
"Body Language - Original Remaster","M.A.N.D.Y.","Body Language","2023-03-31",50,0.0124,0.798,0.661,0.898,0.0771,-10.895,0.0559,129.99,4,0,436150,0.864,4,"40hscplKySBPzeXEhfBy7E","deep disco house","microhouse","minimal tech house","minimal techno",NA,NA,NA,NA,NA
"No Good - Remix","ARMA","No Good (Remix)","2021-07-23",46,0.013,0.605,0.943,0.595,0.2,-7.628,0.0559,145.001,1,1,312558,0.18,4,"47XIDre0VPZHvjzEygjDrm",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STARGAZING","Travis Scott","ASTROWORLD","2018-08-03",77,0.00947,0.487,0.789,4.05e-06,0.189,-3.69,0.044,150.007,8,1,270714,0.0564,4,"7wBJfHzpfI3032CSD7CE2m","hip hop","rap","slap house",NA,NA,NA,NA,NA,NA
"Disorder - 2019 Digital Master","Joy Division","Unknown Pleasures","1979-06-15",51,0.000269,0.325,0.828,0.729,0.11,-6.272,0.117,85.115,10,0,212360,0.73,4,"2OPmhk5vO4qiYE4LEAC9hs","alternative rock","art rock","indie rock","madchester","new wave","post-punk","punk","rock","uk post-punk"
"LEAVE ME ALONE","Amaarae","THE ANGEL YOU DON'T KNOW","2020-11-12",56,0.525,0.752,0.635,0.518,0.102,-6.764,0.104,99.996,2,0,156365,0.525,4,"0kbnm3YwSygTFeWZlCGfCw","afro r&b","afrobeats","alternative r&b","ghanaian alternative","ghanaian pop",NA,NA,NA,NA
"Come Home (feat. André 3000)","Anderson .Paak","Ventura","2019-04-12",58,0.0144,0.567,0.815,2.14e-05,0.126,-4.915,0.141,164.834,8,1,266812,0.325,4,"6RpunyUP44SDweJPDScLSF","escape room","hip hop","indie soul","neo soul",NA,NA,NA,NA,NA
"Audacity","Klaus Veen","Ordinary Beats","2017-12-14",18,0.00633,0.943,0.773,0.867,0.509,-9.33,0.148,124.184,0,1,355526,0.382,4,"21kGQlD5nrkicxFrYlDQDg","dutch tech house",NA,NA,NA,NA,NA,NA,NA,NA
"My Choppa Hate Niggas","21 Savage","Without Warning","2017-10-30",71,0.0974,0.862,0.274,0.185,0.183,-5.818,0.416,77.492,0,0,148640,0.154,4,"2D2w9943rsnJOGCrI4aMQp","atl hip hop","hip hop","rap",NA,NA,NA,NA,NA,NA
"Oomps Revenge","Trippie Redd","LIFE'S A TRIP","2018-08-10",45,0.105,0.662,0.583,0,0.112,-8.58,0.328,80.436,9,0,120550,0.722,4,"5DV3lkwyIYRgAlunraSpOW","melodic rap","rap","trap",NA,NA,NA,NA,NA,NA
"Dream 17","Various Artists","Richard Sen Presents This Ain't Chicago - The Underground Sound of UK House & Acid 1987-1991","2012-06-22",23,0.0471,0.794,0.985,0.849,0.0942,-8.738,0.0511,128.125,7,1,377333,0.481,4,"5ZpVucua8rY59sauaGFOgm",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Endless Quest","Kosh","Endless Quest","2019-04-19",21,0.00883,0.779,0.714,0.863,0.0958,-9.817,0.0384,133.976,0,1,398526,0.656,4,"3gOzRWAi6gulBcN8W85LRo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOVE BANDANA – feat. Tedua","Ketama126","KETY","2019-10-18",53,0.294,0.68,0.774,0,0.12,-6.671,0.118,77.478,4,1,212880,0.557,4,"65bM8F5KQPK4idHTJJbZEA","drill italiana","emo rap italiano","italian hip hop","trap italiana",NA,NA,NA,NA,NA
"NC-17","Travis Scott","ASTROWORLD","2018-08-03",68,0.0678,0.804,0.763,0,0.368,-5.48,0.0519,136.052,2,1,156885,0.0585,4,"6BJbOXDlgVAXSaq6wYFYT2","hip hop","rap","slap house",NA,NA,NA,NA,NA,NA
"Plug Walk","Rich The Kid","The World Is Yours","2018-03-30",73,0.202,0.876,0.519,0,0.108,-6.531,0.143,94.981,11,1,175229,0.158,4,"1ZAyjvIk9YiD76yYy0TEG6","atl hip hop","melodic rap","plugg","rap","trap",NA,NA,NA,NA
"Avalanche","Migos","Culture III","2021-06-11",59,0.0985,0.917,0.623,0,0.0833,-8.231,0.135,126.063,1,1,206271,0.687,4,"4KD0lLJ4OGonZhBeKtct9I","atl hip hop","hip hop","pop rap","rap","trap",NA,NA,NA,NA
