"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Ride or Die","Durand Jones & The Indications","Private Space","2021-07-30",56,0.375,0.607,0.629,0.0806,0.0844,-10.509,0.0406,101.974,2,1,254722,0.688,4,"6KNV6L3b7beomEUnzWgw0X","souldies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Late Night Feelings - Jax Jones Midnight Snack Remix","Mark Ronson","Late Night Feelings (Jax Jones Midnight Snack Remix)","2019-05-20",47,0.0158,0.697,0.928,0.00723,0.503,-4.052,0.113,124.023,5,0,228387,0.654,4,"7hrnaeVvXFAkvQOmjHJglY","pop soul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hallucinate","Dua Lipa","Future Nostalgia","2020-03-27",55,0.033,0.627,0.69,0,0.0742,-5.396,0.139,122.053,10,0,208505,0.627,4,"2MUKw7zEirXqdZZ3xC4hOf","dance pop","pop","uk pop",NA,NA,NA,NA,NA,NA,NA
"Butterflies","Fiji Blue","Butterflies","2020-05-07",60,0.229,0.729,0.526,4.56e-05,0.309,-7.241,0.0986,110.02,8,1,176480,0.786,4,"1e8OoeGOa2VbOqrBhYDliJ","chill pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Te Va A Ser Mejor","Sen Senra","Te Va A Ser Mejor","2021-11-25",39,0.11,0.56,0.81,0.000322,0.0996,-4.327,0.038,129.986,10,0,197245,0.337,4,"0O1LWrTYFwP7tsnmjScSUQ","urbano espanol",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Divine Chord","The Avalanches","We Will Always Love You","2020-12-11",59,0.104,0.557,0.863,0,0.697,-5.321,0.0391,105.362,0,0,187586,0.373,4,"3A0cAzFKPefBCz7Z02UnnO","australian alternative rock","australian dance","collage pop","electronica","indietronica","new rave","psychedelic hip hop",NA,NA,NA
"How Long Do I Have to Wait for You?","Sharon Jones & The Dap-Kings","Naturally","2005-01-25",67,0.471,0.673,0.909,0.013,0.105,-3.369,0.0464,103.941,10,0,243760,0.969,4,"2ffGZTdlRN0lNxA4LOYyTs","black americana","funk","retro soul","soul",NA,NA,NA,NA,NA,NA
"Comerte Entera","C. Tangana","El Madrileño","2021-02-26",61,0.516,0.824,0.399,1.91e-06,0.243,-7.299,0.106,124.085,2,0,174480,0.345,4,"6RUr6r5OexrMOYDtgu1QtS","urbano espanol",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pepas","Farruko","Pepas","2021-06-24",84,0.00776,0.762,0.766,6.98e-05,0.128,-3.955,0.0343,130.001,7,1,287120,0.442,4,"5fwSHlTEWpluwOM0Sxnh5k","reggaeton","trap latino","urbano latino",NA,NA,NA,NA,NA,NA,NA
"Let You Go (feat. Kareen Lomax)","Diplo","Diplo","2022-03-04",58,0.101,0.586,0.956,0.00209,0.092,-4.196,0.0505,128.055,7,0,234374,0.475,4,"3Ql8FoHiDuU5aKCekZInYR","dance pop","edm","electro house","moombahton","pop dance",NA,NA,NA,NA,NA
"Gimme Shelter","The Rolling Stones","Let It Bleed","1969-12-05",79,0.447,0.634,0.63,0.039,0.17,-8.277,0.031,118.628,1,0,270773,0.489,4,"6H3kDe7CGoWYBabAeVWGiD","album rock","british invasion","classic rock","rock",NA,NA,NA,NA,NA,NA
"How You Like Me Now","The Heavy","The House That Dirt Built","2009-10-05",62,0.000973,0.647,0.71,0.703,0.0777,-4.692,0.029,110.059,0,1,217493,0.268,4,"0kHwTHf8ye0mSd66pwcrEN","bath indie","modern blues rock",NA,NA,NA,NA,NA,NA,NA,NA
"Withorwithout","Parcels","Withorwithout","2018-10-10",42,0.644,0.803,0.662,0.901,0.151,-8.073,0.0308,105.009,0,1,205048,0.814,4,"2mcmQR1Zq1wDl582Gm4aLC","aussietronica","indie soul",NA,NA,NA,NA,NA,NA,NA,NA
"Baby","Devendra Banhart","What Will We Be (Standard)","2009-10-23",56,0.0498,0.833,0.325,0.0674,0.15,-10.093,0.0404,102.02,1,0,185786,0.864,4,"17XvbAd3K1GOjWy5uQvK2U","chamber pop","freak folk","new weird america",NA,NA,NA,NA,NA,NA,NA
"Howlin' for You","The Black Keys","Brothers (Deluxe Remastered Anniversary Edition)","2020-12-18",69,0.0272,0.725,0.747,0.0468,0.104,-5.545,0.0876,132.921,11,1,191956,0.38,4,"4yffABDkB5A9flvr9vQFck","alternative rock","blues rock","garage rock","indie rock","indietronica","modern blues rock","modern rock","punk blues","rock","roots rock"
"Djon maya maï (feat. Victor Démé)","Synapson","Convergence (Deluxe Edition)","2015-10-16",46,0.2,0.79,0.647,0.109,0.0766,-6.732,0.0375,105.012,8,0,194706,0.749,4,"3FhykKcpwCz4vp5INY0IK5","french indie pop","french indietronica","french synthpop","new french touch",NA,NA,NA,NA,NA,NA
