"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Adieu les filles","ZZCCMXTP","Adieu les filles","2022-04-07",39,0.156,0.829,0.655,0,0.066,-6.397,0.115,123.081,0,1,125333,0.743,4,"5bGOqwlF2tRmey4xSZELGK",NA,NA,NA,NA,NA,NA
"Poupée Russe","Lujipeka","Poupée Russe","2021-07-15",51,0.246,0.83,0.59,0.000479,0.137,-6.978,0.0552,129.887,7,0,160900,0.8,4,"2sfnGAHcam37qlF5Ovc8xx","french hip hop","rap calme",NA,NA,NA,NA
"Coach K","Népal","Coach K","2020-09-30",38,0.423,0.926,0.576,0,0.105,-7.586,0.269,134.964,11,0,134000,0.569,4,"32oGJL52rUaxAglNswUrUQ","french hip hop",NA,NA,NA,NA,NA
"Deux frères","PNL","Deux frères","2019-04-05",71,0.143,0.794,0.659,0.00224,0.0944,-7.063,0.0498,112.019,7,0,247459,0.308,4,"6hzi3AGB39FjxFqcjgbWs7","french hip hop","pop urbaine",NA,NA,NA,NA
"Pas D'paradis","Hugo TSR","Flaque De Samples","2008-03-24",40,0.634,0.871,0.71,0,0.25,-4.507,0.392,93.034,11,1,232213,0.891,4,"5jMqL8W5CqIXWRzjW1NdLQ","french hip hop","rap conscient",NA,NA,NA,NA
"Fonsdé","Seyté","La vie est belle","2018-05-18",20,0.508,0.52,0.864,0,0.24,-4.837,0.303,79.365,11,1,126750,0.834,4,"4bq598tZ3nwByHMzQWTOmK","belgian hip hop","french hip hop",NA,NA,NA,NA
"Bécoter","Caballero","OSO","2021-04-15",25,0.095,0.813,0.405,0.000717,0.313,-9.058,0.0406,134.962,9,0,202786,0.478,4,"2pd87sOQdhUDkVkACLwbot","belgian hip hop","french hip hop",NA,NA,NA,NA
"De Quoi Tu Parles ?","Lujipeka","L.U.J.I.","2020-05-22",24,0.294,0.75,0.71,4.13e-05,0.103,-8.041,0.0372,103.998,7,0,146000,0.676,4,"1LbB1PxB0rEUdmHEDB5lAj","french hip hop","rap calme",NA,NA,NA,NA
"50 Pourcents","Orelsan","Perdu D'Avance","2009-02-16",42,0.0947,0.617,0.652,0,0.0908,-6.465,0.444,89.754,6,0,280532,0.616,4,"12m4NzqMFZgFTQ3T1vMnw7","french hip hop","old school rap francais","rap conscient",NA,NA,NA
"Je viens de là","Grand Corps Malade","Enfant de la ville","2008-03-31",31,0.127,0.715,0.642,0,0.133,-8.984,0.319,90.005,2,1,206706,0.452,4,"3UZ6gaODmWBwrpj62C56JG","chanson","french pop",NA,NA,NA,NA
"Meilleur du monde","David Okit","Meilleur du monde - Single","2018-09-07",27,0.333,0.804,0.605,0,0.0981,-7.873,0.131,119.996,8,0,234078,0.479,4,"7uXcxsmZMc4NvYmIyDduaj","belgian hip hop","rap francais",NA,NA,NA,NA
"TDB","OBOY","TDB","2021-07-02",61,0.0474,0.882,0.675,0.000598,0.124,-6.004,0.141,140.092,3,1,154280,0.758,4,"27Z3UdqvdAhtJlWBMoDjBD","french hip hop","pop urbaine","rap francais",NA,NA,NA
"Put It on Me","Frankie Stew and Harvey Gunn","The Morning","2014-06-01",52,0.176,0.873,0.425,0,0.11,-12.158,0.326,109.024,6,0,198165,0.118,4,"76uOmADz7RDVK8atL2H1lT","uk alternative hip hop",NA,NA,NA,NA,NA
"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky","TESTING","2018-05-25",84,0.0609,0.854,0.569,0.0816,0.1,-8.151,0.106,80.015,5,0,205040,0.294,4,"7ycWLEP1GsNjVvcjawXz3z","east coast hip hop","hip hop","rap","trap",NA,NA
"Différente","Caballero","OSO","2021-04-15",30,0.779,0.735,0.278,0.00287,0.111,-10.875,0.0547,89.969,5,0,166173,0.176,4,"69lgv9LIJktixMhJWMlnTo","belgian hip hop","french hip hop",NA,NA,NA,NA
"Vibe","Népal","Adios Bahamas","2020-01-10",46,0.446,0.524,0.611,6.64e-05,0.153,-9.287,0.551,92.006,0,1,227944,0.424,4,"5eqX0jS3vTduop2XzgdQkE","french hip hop",NA,NA,NA,NA,NA
"Sea Shanty Medley","Home Free","Sea Shanty Medley","2021-03-19",65,0.253,0.561,0.692,0,0.125,-5.71,0.0551,140.554,4,1,234362,0.898,4,"5mkoR8mVrEwpDQc9y54sM2","a cappella",NA,NA,NA,NA,NA
"BODIES (feat. Damso)","Gazo","BODIES (feat. Damso)","2022-06-30",49,0.00864,0.906,0.518,0.00174,0.0711,-7.104,0.18,146.06,1,1,166373,0.259,4,"1vhGzynTAXJ0MD0gkXPxzX","drill francais","french hip hop","pop urbaine","r&b francais","rap francais",NA
"Ils nous comprennent pas","PLK","Polak","2019-02-01",45,0.427,0.831,0.686,7.36e-06,0.0812,-6.692,0.126,109.017,6,0,182292,0.436,4,"5WiJXFbflamzFtN3EqpY3x","french hip hop","pop urbaine","rap conscient","rap francais",NA,NA
