"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Fantaisie in F minor, Op. 49","Frédéric Chopin","Chopin: Ballades Nos.1-4","1999-01-01",25,0.989,0.251,0.133,0.899,0.13,-21.591,0.0412,73.035,1,1,694986,0.039,4,"0vsDGP7HtWxD3Irw28noa7","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Hey Love","Stevie Wonder","The Definitive Collection","2002-10-29",23,0.701,0.653,0.492,0,0.128,-6.313,0.0235,89.367,0,1,163573,0.668,4,"3PnnHmtzx6IF3cCQjSGtkk","motown","soul",NA,NA,NA,NA,NA,NA,NA,NA
"Get Lucky (feat. Pharrell Williams and Nile Rodgers)","Daft Punk","Random Access Memories","2013-05-20",76,0.0378,0.81,0.793,1.77e-06,0.072,-9.404,0.0403,116.05,6,0,369626,0.863,4,"69kOkLUCkxIZYexIgSG8rq","electro","filter house","rock",NA,NA,NA,NA,NA,NA,NA
"The Seasons, Op. 37a, TH 135: X. October. Autumn Song","Frédéric Chopin","Crossing Spheres","2017-06-16",3,0.995,0.41,0.00977,0.919,0.0667,-34.167,0.0522,129.337,2,0,277320,0.109,3,"18bFbG54Bd56w6iJIs1l0c","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Piano Concerto No. 4 in G Major, Op. 58: III. Rondo. Vivace - Live at Philharmonie, Berlin, 1992","Ludwig van Beethoven","Beethoven: Piano Concertos Nos.3 & 4","2001-01-01",0,0.97,0.29,0.227,0.878,0.69,-20.963,0.0402,145.623,7,1,600973,0.176,4,"0aGKm9jUH6d4Qbvm94P6hn","classical","classical era","early romantic era","german romanticism",NA,NA,NA,NA,NA,NA
"Barcarolle, Op. 60","Frédéric Chopin","Chopin: 26 Preludes","1987-01-01",19,0.993,0.22,0.0668,0.912,0.0926,-22.186,0.0438,173.103,6,1,486493,0.0806,3,"4wkqZcMSEY29ru134Q5HQQ","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Suite bergamasque, L. 75: I. Prélude","Claude Debussy","Debussy","2017-11-17",25,0.991,0.232,0.0455,0.89,0.105,-26.293,0.0396,89.642,5,1,270760,0.144,3,"7s5NfsS8vpB2dzzGw4F1gz","classical","impressionism","post-romantic era",NA,NA,NA,NA,NA,NA,NA
"She Caught the Katy","The Blues Brothers","The Blues Brothers Original Motion Picture Soundtrack","1980",53,0.389,0.759,0.681,0.00296,0.452,-7.321,0.0277,95.769,10,1,249400,0.963,4,"0Xrk5qLPV212FdgjlttQLM","blues","blues rock",NA,NA,NA,NA,NA,NA,NA,NA
"Das Wohltemperierte Klavier: Book 1, BWV 846-869: Praeludium 3","Johann Sebastian Bach","Bach, J.S.: The well-tempered Clavier","2009-01-01",24,0.99,0.391,0.143,0.836,0.114,-26.314,0.0378,133.997,1,1,73040,0.72,4,"18YlwgKKy7jS8JAW151IoJ","baroque","classical","early music","german baroque",NA,NA,NA,NA,NA,NA
"Overtime","Dombresky","Reaching Perfection","2016-02-05",24,0.2,0.763,0.795,0.531,0.0856,-4.282,0.0833,126.07,11,1,228095,0.299,4,"2q2XFrnMnUMOUsOVlK45Tg","bass house","electro house","house","tech house",NA,NA,NA,NA,NA,NA
