"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"81","Clocks","Coldplay","A Rush of Blood to the Head","2002","Summer",84,0.599,0.577,0.749,0.0115,0.183,-7.215,0.0279,130.97,"5","0",307879,0.255,"4","0BCPKOYdS2jbQ8iyB56Zns","permanent wave","pop",NA,NA,NA,NA,NA,NA
"82","Africa","TOTO","Toto IV","1982","Spring",87,0.257,0.671,0.373,8.01e-05,0.0481,-18.064,0.0323,92.718,"9","1",295893,0.732,"4","2374M0fQpWi3dLnB54qaLX","album rock","classic rock","hard rock","mellow gold","rock","soft rock","yacht rock",NA
"83","She's So Lovely","Scouting For Girls","Scouting For Girls (Expanded Edition)","2007","Autumn",67,0.0622,0.496,0.857,0,0.0495,-3.313,0.0649,167.144,"0","1",223813,0.619,"4","0wG4gampO24nC7VKm5pxjg","talent show",NA,NA,NA,NA,NA,NA,NA
"84","Teenage Dirtbag","Wheatus","Wheatus","1999","Winter",80,0.346,0.625,0.85,0.000233,0.174,-3.904,0.0495,94.661,"4","1",241666,0.633,"4","25FTMokYEbEWHEdss5JLZS","pop rock",NA,NA,NA,NA,NA,NA,NA
"85","Payphone","Various Artists","Simon Mayo’s Drivetime","2014","Winter",45,0.0159,0.695,0.607,0,0.282,-10.925,0.0363,110.007,"11","1",223213,0.66,"4","4VZ7AwrmWzh7wUeDJbuCY3",NA,NA,NA,NA,NA,NA,NA,NA
"86","Fuck Love","XXXTENTACION","17","2017","Summer",84,0.0172,0.797,0.533,0.000152,0.103,-9.74,0.0412,131.036,"0","0",146520,0.329,"4","7AQim7LbvFVZJE3O8TYgf2","emo rap","miami hip hop",NA,NA,NA,NA,NA,NA
"87","Don't Stop Me Now - Remastered 2011","Queen","Jazz (2011 Remaster)","1978","Autumn",85,0.0475,0.559,0.868,0.000176,0.776,-5.276,0.17,156.295,"5","1",209413,0.609,"4","5T8EDUDqKcs6OSOwEsfqG7","classic rock","glam rock","rock",NA,NA,NA,NA,NA
"88","Piano Man","Billy Joel","Piano Man (Legacy Edition)","1973","Autumn",78,0.605,0.331,0.55,3.96e-06,0.192,-6.483,0.0272,177.734,"0","1",339000,0.429,"3","70C4NyhjD5OZUMzvWZ3njJ","album rock","classic rock","heartland rock","mellow gold","piano rock","rock","singer-songwriter","soft rock"
"89","Call Me Maybe","Carly Rae Jepsen","Kiss","2012","Winter",84,0.0114,0.783,0.58,2.28e-06,0.108,-6.548,0.0408,120.021,"7","1",193400,0.66,"4","20I6sIOMTCkB6w7ryavxtO","canadian pop","dance pop","pop",NA,NA,NA,NA,NA
"90","SAD!","XXXTENTACION","?","2018","Spring",83,0.258,0.74,0.613,0.00372,0.123,-4.88,0.145,75.023,"8","1",166605,0.473,"4","3ee8Jmje8o58CHK66QrVC2","emo rap","miami hip hop",NA,NA,NA,NA,NA,NA
"91","Phone Numbers","Dominic Fike","Phone Numbers","2019","Summer",75,0.239,0.884,0.539,0,0.0805,-6.389,0.208,85.008,"1","0",146826,0.776,"4","3f9Mzvd3URfbbIJBX4pz9Z","alternative pop rock","pov: indie",NA,NA,NA,NA,NA,NA
"92","How Deep Is Your Love","Calvin Harris","How Deep Is Your Love","2015","Summer",80,0.0392,0.738,0.868,0.00169,0.388,-4.373,0.0731,122.003,"11","0",212640,0.336,"4","22mek4IiqubGD9ctzxc69s","dance pop","edm","electro house","house","pop","pop dance","progressive house","uk dance"
"93","Shut Up and Dance","WALK THE MOON","TALKING IS HARD","2014","Winter",86,0.00701,0.578,0.866,0,0.257,-3.804,0.0619,128.038,"1","1",199080,0.619,"4","4kbj5MwxO1bq9wjT5g9HaA","dance rock","modern alternative rock","modern rock","neo mellow","pop rock",NA,NA,NA
"94","Perfect","Ed Sheeran","÷ (Deluxe)","2017","Spring",90,0.163,0.599,0.448,0,0.106,-6.312,0.0232,95.05,"8","1",263400,0.168,"3","0tgVpDi06FyKpA1z0VMD4v","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA
"95","Set Fire to the Rain","Adele","21","2011","Winter",87,0.00408,0.603,0.67,1.68e-06,0.112,-3.882,0.0249,107.993,"2","0",242973,0.446,"4","3di5hcvxxciiqwMH1jarhY","british soul","pop","pop soul","uk pop",NA,NA,NA,NA
