"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"31","Halley's Comet","Billie Eilish","Happier Than Ever",2021,"Summer",79,0.961,0.403,0.159,0.0121,0.34,-16.728,0.104,72.38,"1","0",234761,0.0381,"4","5XsAal7ZcWg1I5T4NcRjkv","art pop","pop",NA,NA,NA,NA
"32","Home","Edith Whiskers","Stop Stealing The Covers!",2020,"Autumn",72,0.981,0.72,0.197,0.00187,0.1,-12.494,0.0361,120.024,"2","1",197360,0.284,"4","18V1UiYRvWYwn01CRDbbuR",NA,NA,NA,NA,NA,NA
"33","Yo No Soy Celoso","Bad Bunny","Un Verano Sin Ti",2022,"Spring",76,0.275,0.872,0.588,0,0.17,-6.276,0.0492,142.004,"0","1",230704,0.93,"4","5kVZxyMY1gfdCLiChsfjn1","reggaeton","trap latino","urbano latino",NA,NA,NA
"34","Ain't Shit","Doja Cat","Planet Her",2021,"Summer",79,0.506,0.855,0.488,0,0.347,-4.601,0.208,124.097,"3","1",174253,0.619,"4","5lAnYvAIkSDNXqfo7DyFUm","dance pop","pop",NA,NA,NA,NA
"35","go","Cat Burns","go",2020,"Summer",73,0.88,0.663,0.251,0,0.0932,-9.87,0.0435,90.272,"6","0",215000,0.528,"4","4VtRHZ4tBDHaWltVAytlLY","uk pop",NA,NA,NA,NA,NA
"36","Mi Estrella Blanca","Fondo Flamenco","Las Cartas Sobre la Mesa",2008,"Winter",65,0.71,0.701,0.804,0,0.0877,-5.743,0.0379,159.979,"10","0",278958,0.963,"4","15h9quQgltWsgYsdqSyPNb","flamenco fusion","pop flamenco","spanish pop","spanish pop rock",NA,NA
"37","Amorfoda","Bad Bunny","Amorfoda",2018,"Winter",78,0.985,0.749,0.418,0.000126,0.0832,-7.925,0.0587,147.887,"9","0",153887,0.307,"3","68QcquxCS39cQGTsRrJWIR","reggaeton","trap latino","urbano latino",NA,NA,NA
"38","Lights Are On","Tom Rosenthal","Z-Sides",2018,"Autumn",81,0.981,0.44,0.04,0.465,0.111,-16.887,0.0322,135.965,"3","1",193749,0.249,"4","4IhTXiZLKATmwhMZIb1GQN","british singer-songwriter",NA,NA,NA,NA,NA
"39","my future","Billie Eilish","Happier Than Ever",2021,"Summer",71,0.814,0.456,0.285,0.143,0.307,-10.755,0.0979,104.89,"8","1",210005,0.0809,"4","3YUMWmx8EJq0DurfuIwoGh","art pop","pop",NA,NA,NA,NA
"40","Acurrucar","Ed Maverick","mix pa llorar en tu cuarto",2018,"Spring",73,0.944,0.809,0.216,0.00799,0.0894,-12.103,0.0353,99.1,"8","1",234080,0.236,"4","1xYBeQ5u8uaJ3oBWktjGyJ","chihuahua indie","indie triste","mexican indie",NA,NA,NA
"41","Efecto","Bad Bunny","Un Verano Sin Ti",2022,"Spring",87,0.141,0.801,0.475,1.73e-05,0.0639,-8.797,0.0516,98.047,"7","0",213061,0.234,"4","5Eax0qFko2dh7Rl2lYs3bx","reggaeton","trap latino","urbano latino",NA,NA,NA
"42","Everybody But Me","Nick Wilson","Everybody But Me",2020,"Summer",43,0.0698,0.659,0.571,0,0.107,-5.654,0.0371,122.949,"1","0",184633,0.21,"4","6uHuk7MrwQSAc98f0eNrWM","indie anthem-folk",NA,NA,NA,NA,NA
