"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"77","CLUB","ARIETE","SPECCHIO","2022","Winter",40,0.421,0.667,0.709,0,0.0924,-5.009,0.0422,143.035,"8","1",169346,0.496,"4","0yVV9kNKekPzEPWnkSvoqv","italian hip hop","italian pop","rome indie",NA,NA
"78","Atlantis","Seafret","Tell Me It's Real (Expanded Edition)","2016","Winter",87,0.0529,0.4,0.479,2.14e-06,0.115,-7.989,0.0308,166.159,"8","0",229173,0.213,"4","1Fid2jjqsHViMX6xNH70hE","folk-pop",NA,NA,NA,NA
"79","Mortale","Nayt","DOOM","2021","Autumn",50,0.497,0.847,0.7,0,0.174,-6.081,0.0621,105.069,"5","0",186000,0.653,"3","4Kp2OEKh3cVUPC1WeYPAn6","italian hip hop",NA,NA,NA,NA
"80","SUI MURI","PSICOLOGI","SUI MURI","2021","Winter",56,0.739,0.422,0.477,0,0.255,-8.12,0.0384,76.183,"11","1",181529,0.39,"4","5M3SYjElWjKlD3jgONFw4w","italian hip hop","italian pop","rome indie",NA,NA
"81","SPIFFERI","ARIETE","SPECCHIO","2022","Winter",59,0.882,0.431,0.317,0,0.0931,-11.571,0.0572,92.878,"4","0",206093,0.391,"3","17LhPR6K1lzAVFB3umqNlr","italian hip hop","italian pop","rome indie",NA,NA
"82","Senza Di Me (feat. Venerus & Franco126)","Gemitaiz","Senza Di Me","2018","Winter",66,0.167,0.698,0.636,0,0.125,-5.844,0.034,107.282,"8","1",201961,0.313,"3","3xGD5KhnizETt7KQwxtUAc","italian hip hop",NA,NA,NA,NA
"83","CASA","Neima Ezza","CASA","2021","Spring",60,0.138,0.356,0.76,0.109,0.234,-7.877,0.143,152.588,"8","1",197247,0.1,"5","4YhH8TVZAe2AUaz2oigGeQ","italian hip hop","trap italiana",NA,NA,NA
"84","Alessandra (feat. Frenetik&Orang3)","PSICOLOGI","2001","2019","Summer",42,0.00319,0.624,0.763,0,0.105,-6.028,0.08,124.972,"9","0",178136,0.467,"4","5RTxVe4HcAHN8EdNLy8utq","italian hip hop","italian pop","rome indie",NA,NA
"85","Pillole","ARIETE","Spazio","2020","Spring",54,0.523,0.679,0.581,0,0.0928,-9.297,0.104,82.054,"2","1",196097,0.443,"4","02awCaNU1SgRt1ol80wRDP","italian hip hop","italian pop","rome indie",NA,NA
"86","Poison","Mostro","Ogni maledetto giorno (Deluxe Edition)","2017","Autumn",41,0.1,0.563,0.843,0,0.142,-6.481,0.262,131.236,"2","1",112168,0.361,"5","4prmufBl4kEZrlGvUuBSsH","italian hip hop","italian pop",NA,NA,NA
