"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"19","Mr. Brightside","The Killers","Hot Fuss","2004","missing",88,0.00121,0.352,0.911,0,0.0995,-5.23,0.0747,148.033,"1","1",222973,0.236,"4","003vvx7Niy0yvhvHt4a68B","alternative rock","dance rock","modern rock","permanent wave","rock",NA,NA,NA,NA,NA
"20","The Funeral","Band of Horses","Everything All The Time","2006","Spring",74,0.016,0.319,0.757,0,0.102,-6.117,0.0432,122.465,"0","0",322173,0.101,"4","5lRzWDEe7UuedU2QPsFg0K","chamber pop","indie folk","indie rock","indietronica","modern rock","stomp and holler",NA,NA,NA,NA
"21","Cold Heart - PNAU Remix","Elton John","Cold Heart (PNAU Remix)","2021","Summer",86,0.034,0.796,0.798,4.19e-05,0.0952,-6.312,0.0317,116.032,"1","1",202735,0.942,"4","6zSpb8dQRaw0M1dK8PBwQz","glam rock","mellow gold","piano rock","rock",NA,NA,NA,NA,NA,NA
"22","STAY (with Justin Bieber)","The Kid LAROI","STAY (with Justin Bieber)","2021","Summer",86,0.0383,0.591,0.764,0,0.103,-5.484,0.0483,169.928,"1","1",141805,0.478,"4","5HCyWlXZPP0y6Gqq8TgA20","australian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Lonely Boy","The Black Keys","El Camino","2011","Winter",81,0.00417,0.356,0.872,0.00975,0.0997,-7.837,0.068,166.3,"2","1",193653,0.607,"4","5G1sTBGbZT5o4PNRc75RKI","alternative rock","blues rock","garage rock","indie rock","indietronica","modern blues rock","modern rock","punk blues","rock","roots rock"
"24","Unholy (feat. Kim Petras)","Sam Smith","Unholy (feat. Kim Petras)","2022","Autumn",87,0.013,0.714,0.472,4.51e-06,0.266,-7.375,0.0864,131.121,"2","1",156943,0.238,"4","3nqQXoyQOWXiESFLlDF1hG","pop","uk pop",NA,NA,NA,NA,NA,NA,NA,NA
"25","Boys Don't Cry","The Cure","Three Imaginary Boys","1979","Spring",81,0.00517,0.462,0.836,0,0.18,-5.766,0.0621,168.766,"11","0",155973,0.671,"4","1QFh8OH1e78dGd3VyJZCAC","new wave","permanent wave","rock","uk post-punk",NA,NA,NA,NA,NA,NA
"26","Ruby","Kaiser Chiefs","Yours Truly, Angry Mob (Deluxe)","2007","Winter",69,0.00768,0.447,0.937,1.33e-05,0.0787,-2.811,0.0492,93.452,"5","0",204200,0.431,"4","2sgBTNHz9ckmqj3rx3ez4M","modern rock","rock",NA,NA,NA,NA,NA,NA,NA,NA
"27","THATS WHAT I WANT","Lil Nas X","MONTERO","2021","Autumn",83,0.00614,0.737,0.846,0,0.0486,-4.51,0.22,87.981,"1","0",143901,0.546,"4","0e8nrvls4Qqv5Rfa2UhqmO","lgbtq+ hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Dakota","Stereophonics","Language.Sex.Violence.Other?","2005","Winter",72,0.129,0.506,0.93,0.00682,0.0931,-3.499,0.0675,146.994,"4","1",297426,0.305,"4","3qaSqrrevBrb84xl5JlptU","britpop","modern rock","welsh rock",NA,NA,NA,NA,NA,NA,NA
"29","Dancing Feet (feat. DNCE)","Kygo","Dancing Feet (feat. DNCE)","2022","Winter",71,0.293,0.75,0.797,0,0.392,-4.826,0.118,105.949,"0","1",215203,0.523,"4","4RAR8g8fZNB106ezUurnE0","edm","pop","pop dance","tropical house",NA,NA,NA,NA,NA,NA
"30","I Bet You Look Good On The Dancefloor","Arctic Monkeys","Whatever People Say I Am, That's What I'm Not","2006","Winter",78,0.00225,0.535,0.948,0,0.376,-4.19,0.0356,103.183,"6","0",173680,0.778,"4","3DQVgcqaP3iSMbaKsd57l5","garage rock","modern rock","permanent wave","rock","sheffield indie",NA,NA,NA,NA,NA
"31","Sunshine","OneRepublic","Sunshine","2021","Autumn",81,0.137,0.697,0.875,0,0.28,-4.621,0.034,140.069,"5","1",163854,0.774,"4","5r43qanLhUCdBj8HN3fa6B","piano rock","pop",NA,NA,NA,NA,NA,NA,NA,NA
"32","Light Switch","Charlie Puth","CHARLIE","2022","Autumn",79,0.105,0.689,0.627,0.000321,0.0905,-5.692,0.308,184.008,"6","1",187703,0.905,"4","1jEBSDN5vYViJQr78W7jr2","pop","viral pop",NA,NA,NA,NA,NA,NA,NA,NA
"33","Where Is My Mind? - Remastered","Pixies","Surfer Rosa","1988","Spring",81,0.0204,0.519,0.441,0.000453,0.076,-14.178,0.0353,81.334,"4","1",234973,0.25,"4","7wCmS9TTVUcIhRalDYFgPy","alternative rock","boston rock","permanent wave","rock",NA,NA,NA,NA,NA,NA
"34","Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris","Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","2022","Summer",66,0.276,0.81,0.733,6.73e-06,0.288,-6.338,0.0444,125.975,"9","1",229282,0.9,"4","5lfWrciYtohtIMVDVZd0Rf","dance pop","edm","electro house","house","pop","pop dance","progressive house","uk dance",NA,NA
"35","A-Punk","Vampire Weekend","Vampire Weekend","2008","Winter",74,0.0103,0.551,0.819,0.0437,0.153,-4.489,0.0525,174.917,"2","1",137760,0.846,"4","2DrGEaqoruCSn0FffWCf5O","baroque pop","chamber pop","garage rock","indie rock","indietronica","modern rock",NA,NA,NA,NA
"36","Beg for You (feat. Rina Sawayama)","Charli XCX","CRASH","2022","Spring",63,0.223,0.788,0.945,2.97e-06,0.115,-5.091,0.0599,128.036,"9","1",168053,0.466,"4","11M8c9SHQYpd8DOrmcu25k","art pop","candy pop","metropopolis","pop","uk pop",NA,NA,NA,NA,NA
"37","Bad Habits","Ed Sheeran","=","2021","Autumn",85,0.0451,0.807,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,"11","0",230746,0.537,"4","3rmo8F54jFF8OgYsqTxm5d","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA,NA,NA
"38","Message In A Bottle","The Police","Reggatta De Blanc (Remastered 2003)","1979","Autumn",79,0.0338,0.577,0.808,1.33e-05,0.221,-7.04,0.039,151.008,"1","0",290280,0.869,"4","1oYYd2gnWZYrt89EBXdFiO","album rock","classic rock","permanent wave","rock",NA,NA,NA,NA,NA,NA
"39","How You Like Me Now","The Heavy","The House That Dirt Built","2009","Autumn",62,0.000973,0.647,0.71,0.703,0.0777,-4.692,0.029,110.059,"0","1",217493,0.268,"4","0kHwTHf8ye0mSd66pwcrEN","bath indie","modern blues rock",NA,NA,NA,NA,NA,NA,NA,NA
"40","Used to Know Me","Charli XCX","CRASH","2022","Spring",61,0.0914,0.711,0.931,4.41e-05,0.0892,-4.042,0.0323,118.009,"1","1",145840,0.775,"4","5dry5tz8yLcLuOJ3l6ZEQd","art pop","candy pop","metropopolis","pop","uk pop",NA,NA,NA,NA,NA
"41","Super Freaky Girl","Nicki Minaj","Queen Radio: Volume 1","2022","Summer",75,0.0509,0.951,0.878,1.61e-05,0.321,-2.565,0.211,133.014,"2","1",170977,0.923,"4","2yjlYDiNiQkdxVqTlaSrlX","hip pop","pop","queens hip hop","rap",NA,NA,NA,NA,NA,NA
"42","Love It When You Hate Me (feat. blackbear)","Avril Lavigne","Love Sux","2022","Winter",59,0.00437,0.611,0.803,1.41e-06,0.604,-4.368,0.0394,92.497,"5","1",145103,0.624,"4","6m0Dk7Cm7rWQLzCjeYIiIt","canadian pop","candy pop","dance pop","pop",NA,NA,NA,NA,NA,NA
"43","Bagno a mezzanotte","Elodie","Bagno a mezzanotte","2022","Spring",59,0.0986,0.81,0.734,0,0.355,-6.665,0.0544,107.993,"11","0",178713,0.317,"4","5KkcthkQDnlhQN0WhO8DsM","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"44","I Love It (feat. Charli XCX)","Icona Pop","THIS IS... ICONA POP","2013","Summer",64,0.00952,0.711,0.906,1.64e-05,0.153,-2.671,0.0284,125.916,"8","1",157152,0.824,"4","12zpU2S4lMdrK9dvsOoL1m","candy pop","dance pop","electropop","metropopolis","swedish electropop","swedish synthpop",NA,NA,NA,NA
"45","Wonderwall - Remastered","Oasis","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","1995","missing",80,0.000509,0.375,0.893,0,0.187,-4.097,0.0406,174.323,"2","1",258773,0.434,"4","7ygpwy2qP3NbrxVkHvUhXY","beatlesque","britpop","madchester","permanent wave","rock",NA,NA,NA,NA,NA
"46","Naive","The Kooks","Inside In / Inside Out","2006","Winter",78,0.0759,0.391,0.808,0,0.149,-6.209,0.0892,100.304,"8","0",203506,0.737,"4","7BHPGtpuuWWsvE7cCaMuEU","brighton indie","garage rock","modern rock","rock",NA,NA,NA,NA,NA,NA
"47","Woman","Doja Cat","Planet Her","2021","Summer",87,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,"5","0",172626,0.881,"4","6Uj1ctrBOjOas8xZXGqKk4","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,NA
