"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"53","Serenata - From ''Forever Out of My League''","Alfa","Serenata (From ''Forever Out of My League'')",2022,"Winter",45,0.0167,0.77,0.643,0,0.13,-6.296,0.144,120.039,"0","1",138500,0.734,"4","6TkMWM9elJWAqKQfiEWtL8","pop virale italiano",NA,NA,NA,NA,NA,NA
"54","r()t()nda (feat. Tiziano Ferro)","thasup","c@ra++ere s?ec!@le",2022,"Autumn",59,0.484,0.482,0.795,0,0.345,-5.547,0.233,116.702,"7","1",159592,0.639,"3","7FsuMwalG48ZfjklkSkuJa","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA
"55","Giulia","Pinguini Tattici Nucleari","AHIA!",2020,"Winter",62,0.536,0.682,0.644,0,0.143,-4.84,0.0258,108.019,"7","1",186823,0.609,"4","2tBJjWPeVthyObVtca2ZeY","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA
"56","Hace Calor - Remix","Kaleb Di Masi","Hace Calor (Remix)",2022,"Summer",68,0.367,0.889,0.618,0.00438,0.105,-5.124,0.0627,130.021,"5","0",247384,0.444,"4","3h043RAJ7tKaG1HDFeet6w","cumbia 420","rkt",NA,NA,NA,NA,NA
"57","Michelle Pfeiffer (feat. Tony Effe)","Rose Villain","Michelle Pfeiffer (feat. Tony Effe)",2022,"Spring",57,0.382,0.778,0.679,8.36e-06,0.178,-7.824,0.126,130.074,"5","0",180774,0.57,"4","1CGMJZj8kKIuK9kkO2TT7c","italian hip hop","italian pop","milan indie",NA,NA,NA,NA
"58","BUBBLE (feat. thasup & Salmo)","Takagi & Ketra","BUBBLE (feat. thasup & Salmo)",2022,"Summer",63,0.0769,0.803,0.709,0,0.286,-6.54,0.0432,121.947,"9","0",164327,0.706,"4","3fIB4IEcvjlzItwnFUvIBk","italian adult pop","italian pop",NA,NA,NA,NA,NA
"59","Camera Mia","Eugenio In Via Di Gioia","Natura Viva",2019,"Spring",32,0.663,0.423,0.656,0,0.191,-7.702,0.185,187.891,"9","1",200493,0.903,"4","5H2azlKyAqnDHvLam4UpYK","indie folk italiano","italian alternative","italian indie pop","turin indie",NA,NA,NA
"60","PARIGI","Alfa","PARIGI",2022,"Spring",51,0.0227,0.689,0.545,0,0.285,-7.819,0.0537,142.992,"9","1",159125,0.472,"4","6gqW2w2h0221Fl7VhQKcXB","pop virale italiano",NA,NA,NA,NA,NA,NA
"61","Vera","Den Haxhi","Vera",2021,"Summer",0,0.0349,0.766,0.641,0.000757,0.146,-6.124,0.0373,132.026,"5","0",202272,0.468,"4","0fOJbIH2A8clmXkdevWtcS",NA,NA,NA,NA,NA,NA,NA
"62","THE LONELIEST","Måneskin","THE LONELIEST",2022,"Autumn",77,0.00151,0.519,0.595,0,0.0762,-5.001,0.0283,129.786,"2","1",247067,0.237,"4","1Ame8XTX6QHY0l0ahqUhgv","indie rock italiano","italian pop",NA,NA,NA,NA,NA
