"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"59","Best of You","Foo Fighters","In Your Honor","2005","Summer",79,0.000769,0.366,0.94,9.42e-05,0.188,-5.119,0.0696,130.198,"1","0",255626,0.369,"4","5FZxsHWIvUsmSK1IAvm2pp","alternative metal","alternative rock","modern rock","permanent wave","post-grunge","rock",NA,NA,NA
"60","Lie To Me","12 Stones","Anthem For The Underdog (Bonus Track Version)","2007","Winter",46,0.00493,0.443,0.907,0,0.0754,-4.046,0.0541,157.992,"2","1",219080,0.449,"4","1fbLPjsAXq7gZPtOK9QCZU","alternative metal","christian hard rock","nu metal","post-grunge",NA,NA,NA,NA,NA
"61","ACIDO","PSICOLOGI","TRAUMA","2022","Spring",40,0.101,0.51,0.808,0.000157,0.438,-5.968,0.0338,150.002,"5","1",210200,0.67,"3","4GUbhJkgfDXC83pMS1WT5m","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA,NA
"62","Nookie","Limp Bizkit","Significant Other","1999","missing",73,0.00218,0.573,0.929,0.0723,0.718,-5.996,0.082,97.57,"11","1",289560,0.284,"4","1TEZWG1FdjzDdercCguTwj","alternative metal","funk metal","nu metal","post-grunge","rap metal","rock",NA,NA,NA
"63","These Days","Foo Fighters","Wasting Light","2011","Spring",66,0.000261,0.531,0.664,0,0.205,-4.428,0.0304,135.3,"2","1",298266,0.215,"4","2kN05N1AQQplsgFweFAqYb","alternative metal","alternative rock","modern rock","permanent wave","post-grunge","rock",NA,NA,NA
"64","It Was You","12 Stones","Anthem For The Underdog (Bonus Track Version)","2007","Winter",35,0.00546,0.354,0.825,0,0.134,-3.751,0.0419,179.885,"0","1",213240,0.451,"3","3X3mBkzuJ9GfQVFrDBI1HO","alternative metal","christian hard rock","nu metal","post-grunge",NA,NA,NA,NA,NA
"65","Songbird","Oasis","Heathen Chemistry","2002","Winter",61,0.266,0.49,0.567,9.45e-06,0.24,-6.208,0.0284,134.921,"2","1",127560,0.547,"4","7yDh4GJAoiAJJg2lPaSt4X","beatlesque","britpop","madchester","permanent wave","rock",NA,NA,NA,NA
"66","Giovani Wannabe","Pinguini Tattici Nucleari","Giovani Wannabe","2022","Spring",63,0.0409,0.739,0.81,0,0.122,-5.317,0.0311,127.972,"11","0",212966,0.948,"4","7iLuBTHJSXM2HalKHFqEEy","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA,NA,NA
"67","La felicità","Canova","Avete ragione tutti","2016","Autumn",33,0.579,0.475,0.54,0,0.0966,-5.656,0.0312,131.845,"9","1",191446,0.276,"4","4drYaBH03kJoagzcATteUo","italian alternative","italian indie pop","milan indie",NA,NA,NA,NA,NA,NA
"68","No Surprises","Radiohead","OK Computer","1997","Spring",85,0.0577,0.255,0.393,0.00361,0.113,-10.654,0.0278,76.426,"5","1",229120,0.118,"4","10nyNJ6zNy2YVYLrcwLccB","alternative rock","art rock","melancholia","oxford indie","permanent wave","rock",NA,NA,NA
