"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"92","7+3","Ultimo","Solo","2021","Autumn",43,0.801,0.498,0.344,0,0.0978,-8.816,0.0402,149.591,"4","1",193640,0.377,"4","6irCpQmaoumOmQ3IkvpC9Y","italian adult pop","italian pop",NA,NA,NA
"93","SuL Più BeLLo (Out Of My League) - prod. Yanomi","Alfa","NoRd","2021","Spring",51,0.0188,0.529,0.726,0,0.392,-5.976,0.167,180.217,"4","1",164999,0.737,"4","4hI304HV6ULUfgwo2Ftr8z","pop virale italiano",NA,NA,NA,NA
"94","Finché Non Mi Seppelliscono","BLANCO","Blu Celeste","2021","Autumn",67,0.349,0.727,0.833,0,0.232,-2.594,0.0316,130.024,"4","1",168000,0.86,"4","16EJNayKtC09M0Fi7Py47s","italian hip hop","italian pop",NA,NA,NA
"95","0 passi","Deddy","Il cielo contromano","2021","Spring",47,0.116,0.795,0.664,0,0.143,-6.209,0.141,102.102,"9","1",163529,0.576,"4","1feGbMzfkaybNk96cXcqnO","italian pop",NA,NA,NA,NA
"96","Pianeti","Ultimo","Pianeti","2017","Autumn",67,0.281,0.55,0.488,0,0.372,-9.425,0.196,80.112,"8","1",224000,0.108,"4","2w5wtWq30yTkNSG9YjMFvW","italian adult pop","italian pop",NA,NA,NA
"97","Il cielo si tinge di blu","Nessuno","Il cielo si tinge di blu","2021","Summer",43,0.231,0.671,0.781,0,0.345,-7.702,0.0739,128.983,"7","1",139069,0.641,"4","3QpmPJHkO6xLu5d0Pwz5gs",NA,NA,NA,NA,NA
"98","Sei fantastica","Max Pezzali","Time out","2007","Spring",51,0.135,0.616,0.743,0,0.0491,-4.023,0.0287,80.025,"7","1",199481,0.498,"4","2OvBdadd0jddCRuqIwW5OA","italian adult pop","italian pop",NA,NA,NA
"99","Chiasso","Random","Montagne russe","2020","Summer",65,0.246,0.72,0.45,0,0.101,-13.285,0.196,91.984,"6","0",182228,0.454,"4","76B3Xb8EqIY4NJF5xoNrCH","italian adult pop",NA,NA,NA,NA
"100","Giulia","Pinguini Tattici Nucleari","AHIA!","2020","Winter",62,0.536,0.682,0.644,0,0.143,-4.84,0.0258,108.019,"7","1",186823,0.609,"4","2tBJjWPeVthyObVtca2ZeY","bergamo indie","italian indie pop","italian pop","milan indie",NA
"101","Vertigine","Elodie","Vertigine","2021","Autumn",48,0.374,0.625,0.69,0,0.132,-6.153,0.0543,144.061,"7","1",217398,0.353,"4","3fc6eZjU7Mv7gJUfxrbfMu","italian adult pop","italian pop",NA,NA,NA
