"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"78","Extasi","Fred De Palma","Extasi",2022,"Summer",67,0.0508,0.859,0.776,1.07e-06,0.0263,-4.028,0.0749,130.008,"0","1",157846,0.222,"4","6ojrj2NSj3EkMm05yiuaMG","italian adult pop","italian pop",NA,NA,NA,NA
"79","Under The Influence","Chris Brown","Under The Influence",2022,"Autumn",50,0.0635,0.733,0.69,1.18e-06,0.105,-5.529,0.0427,116.992,"9","0",184203,0.312,"4","1FwPQVMtOoNMZ2lRyd7FXa","pop rap","r&b","rap",NA,NA,NA
"80","Seignosse","Rhove","Seignosse",2022,"Winter",55,0.192,0.919,0.591,8.22e-06,0.1,-5.668,0.245,104.959,"10","0",176426,0.159,"4","1aHWdsWQooVkRhZL2oU8m2","italian hip hop","italian pop","trap italiana",NA,NA,NA
"81","Gucci Garden","Shama24k","Gucci Garden",2022,"Spring",30,0.143,0.606,0.825,0,0.135,-6.056,0.074,139.035,"5","1",160951,0.163,"4","2kO5UHMtTdG9Exa82VBkiw","emo trap italiana","rap toscana",NA,NA,NA,NA
"82","Aggio Perzo 'o Suonno (feat. Coez, prod. TY1)","Neffa","Aggio Perzo 'o Suonno (feat. Coez, prod. TY1)",2021,"Winter",43,0.136,0.691,0.829,0,0.11,-7.301,0.16,91.003,"7","0",182977,0.512,"4","2rfVX4zjVnfUOr1k3txKNG","italian adult pop","italian pop","italian underground hip hop","rap napoletano",NA,NA
"83","TOT","Kehit","2 Mood",2022,"Spring",0,0.377,0.883,0.52,0,0.116,-8.864,0.275,133.012,"1","0",129896,0.814,"4","2x5mDvKT8a9Z9H0fVWbFlV",NA,NA,NA,NA,NA,NA
"84","DÁKITI","Bad Bunny","DÁKITI",2020,"Autumn",81,0.401,0.731,0.573,5.22e-05,0.113,-10.059,0.0544,109.928,"4","0",205090,0.145,"4","47EiUVwUp4C9fGccaPuUCS","reggaeton","trap latino","urbano latino",NA,NA,NA
"85","LA CODA DEL DIAVOLO (con ELODIE)","Rkomi","TAXI DRIVER",2021,"Autumn",68,0.132,0.481,0.748,7.77e-06,0.126,-6.007,0.356,128.777,"6","0",188975,0.549,"4","6oYcyS6salzWI1ysjEScFh","italian hip hop","italian pop",NA,NA,NA,NA
"86","Password","Luchè","Dove Volano Le Aquile",2022,"Spring",62,0.606,0.656,0.65,0,0.162,-7.866,0.197,95.121,"6","0",165721,0.402,"4","78fu3G69lVmwRdce8RuuYf","italian hip hop","italian pop","rap napoletano",NA,NA,NA
"87","3 Sveglie","Kehit","2 Mood",2022,"Spring",0,0.318,0.755,0.606,1.69e-06,0.125,-9.955,0.0589,134.942,"1","1",109456,0.591,"4","4yHIAcbG9kNzMrNEpfIkaE",NA,NA,NA,NA,NA,NA
"88","Forever","Labrinth","Euphoria (Original Score from the HBO Series)",2019,"Autumn",74,0.92,0.563,0.459,0.724,0.11,-7.781,0.0292,79.983,"4","0",202536,0.197,"4","6potEImiklXkwD9qFzpu15","indie poptimism","pop",NA,NA,NA,NA
"89","Break from Toronto","PARTYNEXTDOOR","PARTYNEXTDOOR",2013,"Summer",87,0.0199,0.595,0.678,0.00389,0.418,-5.18,0.0335,117.067,"9","1",99213,0.259,"4","5fEB6ZmVkg63GZg9qO86jh","r&b","rap","urban contemporary",NA,NA,NA
"90","Ti Amo","Luchè","Malammore",2016,"Summer",63,0.175,0.569,0.743,0,0.149,-6.696,0.0423,103.094,"1","1",265454,0.0618,"4","1pq4fzp7UvGPLGzueOKaEf","italian hip hop","italian pop","rap napoletano",NA,NA,NA
"91","ADVICE","ANNA","LISTA 47",2022,"Summer",63,0.217,0.87,0.6,6.2e-05,0.418,-5.981,0.133,130.052,"10","0",183038,0.788,"4","3gQkyNcw4YuyeUcFM5d9TB","italian hip hop","italian pop",NA,NA,NA,NA
"92","Redlight","Swedish House Mafia","Paradise Again",2022,"Spring",69,0.00879,0.71,0.63,0.147,0.058,-7.003,0.0413,125,"2","1",242880,0.216,"4","48Jf12YHPBCAfAzi255Rvr","edm","pop dance","progressive electro house",NA,NA,NA
"93","No Love","Wako","No Love",2022,"Summer",11,0.0158,0.758,0.81,0,0.167,-5.274,0.128,94.994,"7","0",176842,0.526,"4","3qqfblQxVHS06SLTgZGkkj",NA,NA,NA,NA,NA,NA
"94","ANNA","LIBERATO","LIBERATO II",2022,"Spring",55,0.0318,0.576,0.54,6.2e-06,0.206,-10.817,0.0455,111.097,"5","1",208000,0.584,"4","17zj2Oli03sgcCAYc75JiO","italian hip hop","italian indie pop","italian pop","r&b italiano","rap napoletano",NA
"95","ROMANCE","Fred De Palma","ROMANCE",2022,"Spring",54,0.249,0.706,0.828,5.25e-06,0.0718,-2.554,0.0675,175.942,"11","0",180170,0.522,"4","2tkQXP7XlPbtNKj99NepLa","italian adult pop","italian pop",NA,NA,NA,NA
"96","FANTASMA","PSICOLOGI","MILLENNIUM BUG",2020,"Summer",61,0.11,0.718,0.601,0,0.134,-6.202,0.0555,77.557,"3","0",167613,0.226,"4","1c0XKg0gts8BOyvwYcH3wa","italian hip hop","italian pop","rome indie",NA,NA,NA
"97","Occhi rossi","Coez","Volare",2022,"Spring",64,0.0746,0.545,0.477,0,0.0977,-6.021,0.0427,123.465,"11","1",177310,0.353,"4","5bvsNn7f4m0MTCuUQkMZGY","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA
"98","Parli Di Me (feat. Rkomi)","Bresh","ORO BLU",2022,"Spring",50,0.044,0.738,0.515,0,0.319,-7.93,0.156,97.013,"11","0",162500,0.664,"4","0hRc3InGWplN0WKV2VT06n","italian hip hop","italian pop","rap genovese",NA,NA,NA
"99","Callaita","Bad Bunny","Un Verano Sin Ti",2022,"Spring",78,0.597,0.608,0.626,2.16e-06,0.25,-4.773,0.301,176.086,"2","1",250533,0.246,"4","71wFwRo8xGc4lrcyKwsvba","reggaeton","trap latino","urbano latino",NA,NA,NA
"100","Le Pietre Non Volano (feat. Marracash)","Luchè","Dove Volano Le Aquile",2022,"Spring",60,0.051,0.642,0.618,2.07e-06,0.135,-7.993,0.0462,83.999,"8","1",299061,0.277,"4","5hjMhdi5EBlwpcthmhUgOD","italian hip hop","italian pop","rap napoletano",NA,NA,NA
"101","Pensando a lei","Shiva","Pensando a lei",2022,"Winter",59,0.0551,0.79,0.68,0,0.0761,-6.787,0.223,143.046,"1","1",176245,0.61,"4","4Yi4RRhp3nfKR1FDbXlHBp","italian hip hop","italian pop","trap italiana",NA,NA,NA
