"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"80","Come & Go (with Marshmello)","Juice WRLD","Legends Never Die","2020","Summer",79,0.0172,0.625,0.814,0,0.158,-5.181,0.0657,144.991,"0","1",205484,0.535,"4","2Y0wPrPQBrGhoLn14xRYCG","chicago rap","melodic rap","rap",NA,NA,NA,NA,NA
"81","Lovers on the Sun (feat. Sam Martin)","David Guetta","Listen","2014","Autumn",72,0.0932,0.645,0.891,3.88e-06,0.379,-2.505,0.0387,124.915,"6","0",203520,0.568,"4","2rgtCOVK2tpfao2VjURn84","big room","dance pop","edm","pop","pop dance",NA,NA,NA
"82","Ulisse","Bresh","ORO BLU","2022","Spring",52,0.203,0.705,0.661,0,0.125,-7.284,0.0517,132.969,"8","1",177250,0.469,"4","0M0fitIB6l5CFlm9pukiEm","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"83","Centuries","Fall Out Boy","American Beauty/American Psycho","2015","Winter",82,0.00359,0.393,0.858,0,0.102,-2.868,0.0729,176.042,"4","0",228360,0.56,"4","04aAxqtGp5pv12UXAg4pkq","emo","modern rock","pop","rock",NA,NA,NA,NA
"84","Cali","Vale Pain","2020","2020","Winter",61,0.301,0.796,0.636,0,0.215,-10.58,0.225,97.953,"2","1",198367,0.563,"4","2Dlll94x7rzrrw2mN0PGjE","trap italiana",NA,NA,NA,NA,NA,NA,NA
"85","Royalty","Egzod","Royalty","2021","Spring",82,0.0181,0.388,0.855,8.11e-05,0.137,-4.229,0.0644,80.121,"4","0",223520,0.32,"4","7kUljt0NM5sISL3OGNVxYd",NA,NA,NA,NA,NA,NA,NA,NA
"86","ALWAYS DO","The Kid LAROI","F*CK LOVE 3+: OVER YOU","2021","Summer",69,0.0442,0.762,0.426,0,0.0858,-6.865,0.113,167.827,"8","1",151704,0.582,"4","7gCe88FGMlkyURLPxglbAo","australian hip hop",NA,NA,NA,NA,NA,NA,NA
"87","ZITTI E BUONI","Måneskin","Teatro d'ira - Vol. I","2021","Spring",76,0.00138,0.625,0.939,0,0.424,-3.115,0.0669,102.999,"4","0",194786,0.644,"4","776AftMmFFAWUIEAb3lHhw","indie rock italiano","italian pop",NA,NA,NA,NA,NA,NA
"88","OUV3RTURE","Lazza","SIRIO","2022","Spring",57,0.128,0.702,0.579,0,0.125,-6.846,0.148,140.043,"5","0",172862,0.532,"4","7r9hUF9vWuuTPqGK3YS6Oy","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA,NA
"89","Todo De Ti","Rauw Alejandro","Todo De Ti","2021","Spring",79,0.31,0.78,0.718,0.000163,0.0932,-3.605,0.0506,127.949,"3","0",199604,0.342,"4","4fSIb4hdOQ151TILNsSEaF","puerto rican pop","reggaeton","trap latino","urbano latino",NA,NA,NA,NA
"90","Angelina Jolie","Bresh","ORO BLU","2022","Spring",67,0.073,0.658,0.628,0,0.117,-7.889,0.207,160.171,"7","1",169546,0.621,"4","2wDBnfPlixUHdqrS1HvpvY","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"91","Samba","Taxi B","Samba","2022","Spring",46,0.00093,0.63,0.836,2.41e-05,0.208,-4.47,0.0599,159.916,"2","1",149638,0.526,"4","2xZOxK1Emq85FfnJGVR21a","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA
"92","Stay Away (feat. Ketama126, Side Baby & Franco126)","Night Skinny","Mattoni","2019","Autumn",57,0.219,0.65,0.521,0,0.134,-10.012,0.0893,180.086,"6","1",216000,0.574,"4","6oZJl2T2hdHnMYcZR6VJGb","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA,NA
"93","love nwantiti (feat. Dj Yo! & AX'EL) - Remix","CKay","love nwantiti (feat. Dj Yo! & AX'EL) [Remix]","2021","Autumn",76,0.436,0.579,0.596,0.0938,0.0549,-4.823,0.0561,119.9,"8","1",188368,0.443,"3","4gvrJnKCKIPiacNsWVQwEU","afro r&b","afrobeats",NA,NA,NA,NA,NA,NA
"94","Virus","Heavenly","Virus","2007","Winter",35,4.9e-06,0.508,0.954,0.404,0.126,-4.689,0.0388,100.026,"7","1",375466,0.366,"4","7FTJOE2YxTLEvalLck06iP","c86","french metal","melodic metal","neo classical metal","power metal","symphonic metal",NA,NA
"95","Don't Wait Up","Shakira","Don't Wait Up","2021","Summer",61,0.344,0.916,0.552,0.000722,0.0566,-5.051,0.0546,118.981,"3","0",204043,0.349,"4","45PF1Y3RcW5MK0jxWvhc4D","colombian pop","dance pop","latin pop","pop",NA,NA,NA,NA
"96","Blow","Kesha","Cannibal (Expanded Edition)","2010","Autumn",71,0.00334,0.753,0.729,5.66e-05,0.073,-3.862,0.0392,120.013,"11","0",219973,0.812,"4","3pYDZTJM2tVBUhIRifWVzI","dance pop","pop",NA,NA,NA,NA,NA,NA
"97","Wow.","Post Malone","Hollywood's Bleeding","2019","Autumn",84,0.136,0.829,0.539,1.78e-06,0.103,-7.359,0.208,99.96,"11","0",149546,0.388,"4","7xQAfvXzm3AkraOtGPWIZg","dfw rap","melodic rap","pop","rap",NA,NA,NA,NA
