"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3"
"69","r()t()nda (feat. Tiziano Ferro)","thasup","c@ra++ere s?ec!@le",2022,"Autumn",59,0.484,0.482,0.795,0,0.345,-5.547,0.233,116.702,"7","1",159592,0.639,"3","7FsuMwalG48ZfjklkSkuJa","italian hip hop","italian pop","trap italiana"
"70","Alcool & Acqua (feat. PSICOLOGI)","Bresh","ORO BLU",2022,"Spring",60,0.198,0.703,0.706,0,0.121,-7.32,0.161,120.027,"8","1",171437,0.705,"4","4UpCWcaJdu26OxLwxd3baF","italian hip hop","italian pop","rap genovese"
"71","McDonald's","BALTIMORA","Marecittà",2022,"Spring",15,0.634,0.645,0.468,0,0.107,-7.836,0.0664,130.059,"0","0",139384,0.214,"3","6a7uzgM7zq204Bfg6fgSHl",NA,NA,NA
"72","MALEDUCATA (con DARGEN D'AMICO)","Rkomi","TAXI DRIVER",2022,"Winter",47,0.188,0.816,0.834,0,0.256,-5.179,0.272,115.121,"6","0",165328,0.758,"4","3y7eJyB0UBEz2yTTUF3EpJ","italian hip hop","italian pop",NA
"73","COMINCIA TU (feat. Rosa Chemical)","Tananai","COMINCIA TU (feat. Rosa Chemical)",2022,"Winter",54,0.0295,0.694,0.682,0,0.644,-4.735,0.0651,112.028,"9","0",149196,0.798,"4","00aZI3Ds8liGrcqEetsEYf","italian pop",NA,NA
"74","Royal","kleo","Royal",2021,"Autumn",2,0.55,0.923,0.565,0.148,0.12,-7.732,0.0494,99.989,"4","0",118216,0.955,"4","7KC50len2D8mU1YmwYyYZk",NA,NA,NA
"75","Viakal","CAFFA","Viakal",2022,"Winter",4,0.423,0.743,0.761,6.21e-06,0.0328,-2.965,0.113,80.018,"5","1",151250,0.744,"4","1CjhZnYEHTIv3NRkD4llXg",NA,NA,NA
"76","Cose stupide","Tenth Sky","Cose stupide",2022,"Spring",33,0.61,0.533,0.372,0,0.129,-11.85,0.178,160.116,"0","1",186500,0.388,"4","1fqs2w0MyvEPPPO8tEz3tu","emo rap italiano",NA,NA
"77","WELCOME BACK (feat. Raekwon)","Noyz Narcos","VIRUS",2022,"Winter",42,0.279,0.643,0.852,0,0.0893,-5.448,0.486,79.129,"8","0",203544,0.705,"4","5E0PcREYdAn70xQPylf76v","italian hip hop","italian underground hip hop",NA
"78","perché mi guardi così","Frada","perché mi guardi così",2021,"Autumn",18,0.0358,0.497,0.655,0,0.0891,-7.341,0.0848,159.71,"5","1",187500,0.497,"4","7A9XUH7niSxMzaBLCT5wJr","emo trap italiana",NA,NA
"79","Chance (feat. anice & Ernia)","2Rari","2 OR DIE",2022,"Summer",24,0.407,0.686,0.701,3.42e-05,0.104,-6.171,0.368,93.926,"2","0",165957,0.255,"4","6xDzjrI8myhmOaIZ50tFpJ",NA,NA,NA
"80","Lei o me","Tenth Sky","Cose stupide",2022,"Spring",28,0.226,0.595,0.504,0,0.149,-9.813,0.0992,88.049,"0","0",146636,0.284,"4","782YSINOuz9ON86WgTeuRD","emo rap italiano",NA,NA
"81","COSA CI RESTA","bnkr44","COSA CI RESTA",2022,"Spring",26,0.285,0.625,0.797,0,0.181,-4.187,0.0603,156.085,"5","0",202307,0.524,"4","7t3lEne1nnaZOGWWX9cjhD","hyperpop italiano",NA,NA
"82","cielo dammi la luna","sangiovanni","cielo dammi la luna",2022,"Spring",45,0.796,0.379,0.345,0,0.103,-6.468,0.0438,169.807,"1","0",154271,0.523,"3","6OPtTeyh2B4I3Pm6biB91c","italian adult pop","italian pop",NA
"83","Mascarade (feat. Lous and The Yakuza) - A COLORS SHOW","YEИDRY","Mascarade (feat. Lous and The Yakuza)",2022,"Winter",16,0.646,0.827,0.359,2.43e-05,0.316,-11.472,0.233,141.972,"8","0",158899,0.56,"4","4r2AkfBk28Rrm84uDwQaFe","dominican pop",NA,NA
"84","Okay","DARRN","Okay",2022,"Summer",16,0.339,0.742,0.545,0.00335,0.177,-8.144,0.0837,85.009,"10","1",138428,0.394,"4","3V5oNDvniMyuCm0GlwltcL","r&b italiano",NA,NA
"85","Acchiappasogni","NIO","QUATTROMURA",2022,"Summer",9,0.3,0.645,0.565,0.000412,0.105,-7.474,0.264,115.029,"8","1",179621,0.51,"4","2B0nUttn4zgg3lnyXMhtxV",NA,NA,NA
"86","Strawberry","Gemello","La Quiete",2022,"Winter",28,0.0323,0.616,0.603,2.05e-06,0.193,-7.204,0.163,76.5,"1","1",167339,0.35,"4","4lv2ByVyx6h5xSUCciereC","italian hip hop",NA,NA
"87","In Fissa (feat. Fabri Fibra & Ormai)","CanovA","Level One",2022,"Summer",25,0.144,0.689,0.838,0,0.225,-3.853,0.247,94.703,"1","1",133029,0.496,"4","6Xmo0RODWby2SeffGEDS0M","italian pop",NA,NA
"88","Empatia","Tenth Sky","Cose stupide",2022,"Spring",30,0.86,0.482,0.472,0,0.117,-9.391,0.0713,110.506,"9","1",172216,0.55,"1","43ciZSXCJTd4Is849vdbRC","emo rap italiano",NA,NA
"89","CeD","Fin","CeD",2022,"Spring",1,0.489,0.732,0.731,0,0.121,-5.318,0.0825,120.068,"9","0",196250,0.6,"4","6GUgEXlqjlD8bSAtq3pWAA",NA,NA,NA
"90","Metaverso","chiamamifaro","Post Nostalgia",2022,"Summer",27,0.0734,0.732,0.858,1.48e-06,0.0522,-3.262,0.112,144.979,"9","0",185501,0.771,"4","4dCMB4V9Zyncd8oFAzWRSZ",NA,NA,NA
"91","Diavolo (con Ghali, Rkomi, Tedua & bnkr44)","Night Skinny","Botox",2022,"Autumn",54,0.158,0.712,0.657,0,0.14,-6.965,0.143,90.022,"9","1",230483,0.557,"4","0CPailVeTy4L39Zaiuopap","italian hip hop","rap siciliano","trap italiana"
"92","Due anni fa","Tenth Sky","Due anni fa",2021,"Autumn",38,0.654,0.355,0.397,0,0.0626,-12.637,0.0638,168.601,"8","0",160247,0.509,"3","1kSspMQ30u9gHEiRlXvlMm","emo rap italiano",NA,NA
"93","Squarciagola (feat. Luca Carboni & LACRAY)","CanovA","Level One",2022,"Summer",13,0.0802,0.576,0.822,0,0.384,-5.686,0.164,153.902,"4","0",183593,0.83,"4","2n3pB7ToWXhFgXUUyFdYfW","italian pop",NA,NA
"94","City of Gods","Fivio Foreign","City of Gods",2022,"Winter",65,0.102,0.474,0.801,0,0.322,-5.978,0.375,147.356,"8","0",256000,0.497,"4","4huBDGP4I3S0pYI0EaRN1c","brooklyn drill","new york drill","trap"
"95","AUTOBUS DI NOTTE","Rkomi","TAXI DRIVER",2022,"Winter",31,0.113,0.727,0.84,0,0.124,-4.697,0.107,86.995,"5","0",160245,0.297,"4","5m6xPiFOZm2KJdrdPtXkyv","italian hip hop","italian pop",NA
"96","Ginepro","DARRN","Ginepro",2022,"Spring",13,0.434,0.51,0.549,0.00247,0.296,-7.352,0.051,177.138,"2","1",202355,0.318,"4","4qF2Iss7KKHrU26SFiQ3ha","r&b italiano",NA,NA
"97","Gabbiani","Ganzo","San Castrese",2022,"Spring",13,0.691,0.738,0.426,2.04e-06,0.155,-12.092,0.0611,92.986,"4","1",148082,0.389,"4","7iOXMaptrojX3SfssI3jMj","r&b italiano",NA,NA
"98","Right","2Rari","Right",2022,"Summer",8,0.293,0.53,0.848,0,0.274,-5.454,0.255,90.4,"2","1",149333,0.566,"4","0erdE6iRaKH5IfAcYAFzqg",NA,NA,NA
"99","Poveri Stronzi","8blevrai","Immigrato",2022,"Summer",33,0.163,0.422,0.677,0,0.121,-5.927,0.173,63.848,"5","0",195738,0.174,"4","5Ds0ftqy4tQaWw5cUhjOi7",NA,NA,NA
"100","Paura di me","Axos","Paura di me",2022,"Spring",26,0.753,0.797,0.584,7.96e-05,0.125,-7.053,0.208,140.025,"6","1",156000,0.556,"4","32LeJWii472KYzCWwCQjiZ","italian hip hop",NA,NA
"101","Aragona","Marcle","Aragona",2022,"Spring",1,0.239,0.401,0.452,6.88e-06,0.401,-10.189,0.108,77.635,"2","0",150000,0.169,"4","6rqtldTsijSN4Bpu3bWHmb",NA,NA,NA
