"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Senza Sogni (feat. Elisa)","Guè","GVESVS","2021-12-10",175946,45,0.597,0.628,0.579,0,0.0878,-5.846,0.125,144.956,8,0,175946,0.534,3,"7GkfSdH9lsigvCs1rSS3Ag","italian hip hop","italian pop",NA,NA,NA,NA
"SOGNI MATTI (feat. Leon Faun & Drast)","Sick Luke","X2","2022-01-07",197009,55,0.229,0.513,0.655,0,0.208,-5.732,0.278,80.589,7,1,197009,0.297,4,"3eSSVIw9YbVm1SLNxqtdjR","italian hip hop","trap italiana",NA,NA,NA,NA
"MOLOTOV","Lazza","SIRIO","2022-04-07",160204,67,0.265,0.613,0.96,0,0.24,-4.343,0.0542,159.98,5,0,160204,0.669,4,"6SQmh0L5icrThwGDTeLkg1","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"Love Runs Out (feat. G-Eazy & Sasha Alex Sloan)","Martin Garrix","Love Runs Out (feat. G-Eazy & Sasha Alex Sloan)","2021-08-06",164166,59,0.262,0.647,0.642,0,0.134,-7.306,0.0743,90.045,9,0,164166,0.48,4,"3jbAzLVcHiI5hYSkcKe1Ty","dutch edm","edm","pop","pop dance","progressive house",NA
"Hot Air Balloon","Don Diablo","FORΞVΞR (DΞLUXΞ ΞDITION)","2021-11-05",173658,71,0.129,0.815,0.71,0.528,0.113,-6.353,0.0469,122.967,6,0,173658,0.572,4,"67p96tIoC4ESrod9kW331R","dutch house","edm","electro house","future house","pop dance","progressive electro house"
"Lei (feat. Bené)","Baby Gang","EP2","2022-06-17",212284,67,0.544,0.642,0.588,0,0.246,-7.754,0.342,177.056,8,0,212284,0.525,3,"1fdL0yW2DHzcOOUF0fZFv8","trap italiana",NA,NA,NA,NA,NA
"CINEMA","Lazza","SIRIO","2022-04-07",201139,56,0.046,0.562,0.697,0,0.0999,-5.894,0.0524,93.897,7,0,201139,0.217,4,"1gyHmYu70kqUhLfEU5gPjA","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"AMY (feat. Rkomi)","TY1","DJUNGLE","2021-05-07",178800,39,0.0734,0.85,0.861,0,0.102,-6.107,0.234,100.026,1,1,178800,0.511,4,"4RmbBOcricHnqiCrkl3JuO","italian hip hop",NA,NA,NA,NA,NA
"Come noi","Tenth Sky","Come noi","2020-10-17",129882,58,0.792,0.69,0.492,0,0.131,-6.569,0.0509,112.902,7,0,129882,0.546,5,"7zmqrn1vES0c7sTKXEl3P0","emo rap italiano",NA,NA,NA,NA,NA
"Patatine","Dargen D'Amico","NEI SOGNI NESSUNO È MONOGAMO","2022-03-03",187263,48,0.545,0.583,0.674,0,0.144,-6.421,0.202,95.286,7,1,187263,0.489,4,"4F7jDMyiMiRpnAPS08KrxN","italian adult pop","italian hip hop","italian pop","milan indie","r&b italiano",NA
"3 PALI","Lazza","SIRIO","2022-04-07",192827,50,0.147,0.462,0.759,0,0.145,-5.226,0.154,136.257,11,0,192827,0.301,4,"58Zg9AJY4OVnoFrSjzU7SP","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"INSUPERABILE","Rkomi","TAXI DRIVER","2022-02-24",172461,61,0.0344,0.667,0.848,0,0.183,-5.195,0.0851,122.035,4,0,172461,0.84,4,"3nNxdeQX9iFeuosMcFEeDd","italian hip hop","italian pop",NA,NA,NA,NA
"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone","Hollywood's Bleeding","2019-09-06",229573,77,0.0906,0.499,0.8,0,0.147,-2.665,0.0502,139.919,1,0,229573,0.272,4,"7CZyCXKG6d5ALeq41sLzbw","dfw rap","melodic rap","pop","rap",NA,NA
"FEDE E SPERANZA – with Speranza","Fedez","DISUMANO","2021-11-26",145846,30,0.0569,0.748,0.719,0,0.15,-5.778,0.31,129.964,5,1,145846,0.447,4,"4BnzfQxY3nDX8J20RS77yX","italian adult pop","italian pop",NA,NA,NA,NA
"JEFE","Lazza","SIRIO","2022-04-07",195393,50,0.0402,0.594,0.752,0,0.219,-5.885,0.0588,143.929,1,0,195393,0.309,4,"1BxkDfTQIhGJD6Xupq2XW5","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"idfc","blackbear","dead","2015-06-02",207026,78,0.0764,0.718,0.422,0,0.17,-9.115,0.0621,144.678,4,0,207026,0.455,4,"3SErMoIKdRELto2OspGs5L","pop",NA,NA,NA,NA,NA
"La mia noia","Nayt","DOOM","2021-10-29",171235,52,0.582,0.656,0.563,0,0.111,-7.691,0.275,89.041,11,0,171235,0.64,4,"7xDvO2hjF1yXXPjQo4PB4j","italian hip hop",NA,NA,NA,NA,NA
"Mai Più","Rkomi","Io In Terra","2017-09-08",223266,45,0.0527,0.58,0.839,0,0.102,-4.623,0.0578,107.067,10,1,223266,0.344,4,"1JEsJvSxeh1svbRuikxRBE","italian hip hop","italian pop",NA,NA,NA,NA
"OUV3RTURE","Lazza","SIRIO","2022-04-07",172862,57,0.128,0.702,0.579,0,0.125,-6.846,0.148,140.043,5,0,172862,0.532,4,"7r9hUF9vWuuTPqGK3YS6Oy","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke","Shoot For The Stars Aim For The Moon","2020-07-03",190476,80,0.114,0.823,0.586,0,0.193,-6.606,0.2,125.971,6,0,190476,0.347,4,"0PvFJmanyNQMseIFrU708S","brooklyn drill","rap",NA,NA,NA,NA
"Angelina Jolie","Bresh","Angelina Jolie","2021-03-12",169671,61,0.073,0.681,0.691,0,0.113,-6.684,0.181,160.338,4,0,169671,0.644,4,"0tD4EXZRm1JGDYWtKYFLWK","italian hip hop","italian pop","rap genovese",NA,NA,NA
"Le mie note (feat. Ernia)","Leon Faun","C'era una volta","2021-06-24",155454,48,0.205,0.58,0.694,0,0.104,-7.124,0.558,175.614,3,1,155454,0.541,4,"6IJmYSwqpqnjahBYcv1CWe","italian hip hop",NA,NA,NA,NA,NA
"PAROLA - feat. Lazza, Emis Killa","Giaime","CHIC","2020-04-09",203414,52,0.311,0.722,0.747,0.000821,0.112,-7.028,0.0792,164.092,4,0,203414,0.477,4,"4XxQOwmNM0DF3bKafSJBNw","italian hip hop","trap italiana",NA,NA,NA,NA
"Pleasantville","Nitro","Suicidol","2015-05-26",349560,66,0.00166,0.446,0.843,6.77e-06,0.186,-5.366,0.156,129.132,11,0,349560,0.186,4,"4T7nI6RllPyFPXJtIAtC7l","italian hip hop",NA,NA,NA,NA,NA
"ACQUA ཆུ (con RKOMI & MADAME)","MACE","OBE","2021-02-04",189324,49,0.319,0.708,0.691,0.0121,0.236,-7.039,0.0362,119.012,2,1,189324,0.191,4,"7m8fe2ER8dUOBSULH0u8ej","funk carioca","italian hip hop","italian pop",NA,NA,NA
"Heaven Takes You Home (feat. Connie Constance)","Swedish House Mafia","Paradise Again","2022-04-15",214071,80,0.0124,0.665,0.738,0.00598,0.0923,-5.931,0.0379,125.037,0,0,214071,0.0389,4,"3nEHrvNNtgLv9rneTAYVr4","edm","pop dance","progressive electro house",NA,NA,NA
"Colpiscimi (feat. Lazza)","Irama","Il giorno in cui ho smesso di pensare","2022-02-25",184615,49,0.286,0.707,0.589,0,0.267,-7.644,0.298,90.978,6,0,184615,0.308,4,"3s7rR9POWGsXYnbGZPAbXM","italian adult pop","italian pop",NA,NA,NA,NA
"uNa DiReZioNe giUsTa","yungest Moonstar","uNa DiReZioNe giUsTa","2021-07-30",215516,60,0.303,0.409,0.647,0,0.332,-7.698,0.212,196.426,10,1,215516,0.523,4,"1ktyKCzfI8hooCJP3X2yP5",NA,NA,NA,NA,NA,NA
"Ferrari","James Hype","Ferrari","2022-04-01",186661,84,0.0127,0.847,0.69,6e-05,0.0526,-7.877,0.0493,125.004,1,0,186661,0.692,4,"4zN21mbAuaD0WqtmaTZZeP","deep groove house","house","pop dance","uk dance",NA,NA
"Solas","Jamie Duffy","Solas","2022-02-04",192593,71,0.964,0.309,0.335,0.889,0.0932,-16.708,0.0365,84.623,4,0,192593,0.356,4,"2AwBq3Ecjq5IfpC5f897VY",NA,NA,NA,NA,NA,NA
"Puro Sinaloa (feat. Tedua, Rkomi & Lazza)","Ernia","Gemelli","2020-06-18",227093,50,0.0113,0.454,0.75,0,0.0468,-5.359,0.368,89.293,11,0,227093,0.698,4,"5E75l3Zb0vzdiDNJczr29z","italian hip hop","italian pop","milan indie",NA,NA,NA
"If We’ll Ever Be Remembered","Martin Garrix","If We’ll Ever Be Remembered","2022-04-29",210505,56,0.0353,0.502,0.554,0,0.62,-5.788,0.0317,125.786,10,1,210505,0.512,4,"6wnzt59p7i8cAyuWl1avwr","dutch edm","edm","pop","pop dance","progressive house",NA
"Dior","Pop Smoke","Meet The Woo","2019-07-26",216386,83,0.212,0.548,0.805,0.000389,0.408,-5.732,0.351,142.094,7,1,216386,0.648,4,"79s5XnCN4TJKTVMSmOx8Ep","brooklyn drill","rap",NA,NA,NA,NA
"MI STO SUL CAZZO","Fedez","DISUMANO","2021-11-26",184235,35,0.308,0.603,0.642,0,0.116,-7.091,0.185,85.338,7,1,184235,0.418,4,"4tXOYkjEvYyc2D2Qg1nOcH","italian adult pop","italian pop",NA,NA,NA,NA
"3 DI CUORI (feat. Lazza)","ANNA","LISTA 47","2022-06-16",177600,61,0.174,0.465,0.844,0,0.173,-4.355,0.203,100.122,5,0,177600,0.581,4,"0UKSbTiAm0orpQREOXJpI5","italian hip hop","italian pop",NA,NA,NA,NA
"Solo","Rkomi","Io In Terra","2017-09-08",218800,39,0.0229,0.661,0.774,0,0.406,-6.191,0.0787,132.901,1,1,218800,0.351,4,"1NI5cG0pZZ1QBOijYbH4MZ","italian hip hop","italian pop",NA,NA,NA,NA
"Bella","Ernia","Come Uccidere Un Usignolo","2017-06-02",206510,62,0.193,0.561,0.577,0,0.2,-11.899,0.935,172.307,6,1,206510,0.646,4,"7CxLQIq4kIq8P8UwemcKfX","italian hip hop","italian pop","milan indie",NA,NA,NA
"Domai (feat. Ketama126)","Guè","GVESVS","2021-12-10",178253,53,0.513,0.609,0.801,0,0.51,-6.033,0.169,86.006,11,0,178253,0.31,4,"0g24bBP2htW3TWumtSMRNO","italian hip hop","italian pop",NA,NA,NA,NA
"MI ANTHEM","Salmo","BLOCCO 181 – ORIGINAL SOUNDTRACK","2022-05-27",129408,46,0.271,0.7,0.51,2.35e-06,0.116,-6.061,0.408,131.602,0,1,129408,0.531,3,"3k4O2cb414A8GS6Tzk4tiN","italian hip hop","italian pop","italian underground hip hop","rap sardegna",NA,NA
"Breathing","Ben Böhmer","Breathing","2019-11-22",222605,68,0.0229,0.598,0.561,0.557,0.109,-11.421,0.0511,182.988,11,0,222605,0.0385,3,"1MvLmHeLkaNgUScgbUVnWJ",NA,NA,NA,NA,NA,NA
"FANTASMI ( feat. Geolier & Marracash)","TY1","DJUNGLE","2021-05-07",199413,51,0.116,0.798,0.544,0,0.122,-8.607,0.079,120.094,7,0,199413,0.342,4,"21GyhjROpCcIl4NOW96pg9","italian hip hop",NA,NA,NA,NA,NA
