"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3"
"Cose stupide","Tenth Sky","Cose stupide","2022-03-30",186500,33,0.61,0.533,0.372,0,0.129,-11.85,0.178,160.116,0,1,186500,0.388,4,"1fqs2w0MyvEPPPO8tEz3tu","emo rap italiano",NA,NA
"WELCOME BACK (feat. Raekwon)","Noyz Narcos","VIRUS","2022-01-14",203544,42,0.279,0.643,0.852,0,0.0893,-5.448,0.486,79.129,8,0,203544,0.705,4,"5E0PcREYdAn70xQPylf76v","italian hip hop","italian underground hip hop",NA
"perché mi guardi così","Frada","perché mi guardi così","2021-11-19",187500,18,0.0358,0.497,0.655,0,0.0891,-7.341,0.0848,159.71,5,1,187500,0.497,4,"7A9XUH7niSxMzaBLCT5wJr","emo trap italiana",NA,NA
"Chance (feat. anice & Ernia)","2Rari","2 OR DIE","2022-06-23",165957,24,0.407,0.686,0.701,3.42e-05,0.104,-6.171,0.368,93.926,2,0,165957,0.255,4,"6xDzjrI8myhmOaIZ50tFpJ",NA,NA,NA
"Lei o me","Tenth Sky","Cose stupide","2022-03-30",146636,28,0.226,0.595,0.504,0,0.149,-9.813,0.0992,88.049,0,0,146636,0.284,4,"782YSINOuz9ON86WgTeuRD","emo rap italiano",NA,NA
"COSA CI RESTA","bnkr44","COSA CI RESTA","2022-05-19",202307,27,0.285,0.625,0.797,0,0.181,-4.187,0.0603,156.085,5,0,202307,0.524,4,"7t3lEne1nnaZOGWWX9cjhD","hyperpop italiano",NA,NA
"cielo dammi la luna","sangiovanni","cielo dammi la luna","2022-03-24",154271,45,0.796,0.379,0.345,0,0.103,-6.468,0.0438,169.807,1,0,154271,0.523,3,"6OPtTeyh2B4I3Pm6biB91c","italian adult pop","italian pop",NA
"Mascarade (feat. Lous and The Yakuza) - A COLORS SHOW","YEИDRY","Mascarade (feat. Lous and The Yakuza)","2022-01-28",158899,16,0.646,0.827,0.359,2.43e-05,0.316,-11.472,0.233,141.972,8,0,158899,0.56,4,"4r2AkfBk28Rrm84uDwQaFe","dominican pop",NA,NA
"Okay","DARRN","Okay","2022-06-03",138428,16,0.339,0.742,0.545,0.00335,0.177,-8.144,0.0837,85.009,10,1,138428,0.394,4,"3V5oNDvniMyuCm0GlwltcL","r&b italiano",NA,NA
"Acchiappasogni","NIO","QUATTROMURA","2022-06-23",179621,9,0.3,0.645,0.565,0.000412,0.105,-7.474,0.264,115.029,8,1,179621,0.51,4,"2B0nUttn4zgg3lnyXMhtxV",NA,NA,NA
"Strawberry","Gemello","La Quiete","2022-01-21",167339,28,0.0323,0.616,0.603,2.05e-06,0.193,-7.204,0.163,76.5,1,1,167339,0.35,4,"4lv2ByVyx6h5xSUCciereC","italian hip hop",NA,NA
"In Fissa (feat. Fabri Fibra & Ormai)","CanovA","Level One","2022-07-15",133029,25,0.144,0.689,0.838,0,0.225,-3.853,0.247,94.703,1,1,133029,0.496,4,"6Xmo0RODWby2SeffGEDS0M","italian pop",NA,NA
"Empatia","Tenth Sky","Cose stupide","2022-03-30",172216,30,0.86,0.482,0.472,0,0.117,-9.391,0.0713,110.506,9,1,172216,0.55,1,"43ciZSXCJTd4Is849vdbRC","emo rap italiano",NA,NA
"CeD","Fin","CeD","2022-04-22",196250,1,0.489,0.732,0.731,0,0.121,-5.318,0.0825,120.068,9,0,196250,0.6,4,"6GUgEXlqjlD8bSAtq3pWAA",NA,NA,NA
"Metaverso","chiamamifaro","Post Nostalgia","2022-06-17",185501,27,0.0734,0.732,0.858,1.48e-06,0.0522,-3.262,0.112,144.979,9,0,185501,0.771,4,"4dCMB4V9Zyncd8oFAzWRSZ",NA,NA,NA
"Diavolo (con Ghali, Rkomi, Tedua & bnkr44)","Night Skinny","Botox","2022-10-04",230483,54,0.158,0.712,0.657,0,0.14,-6.965,0.143,90.022,9,1,230483,0.557,4,"0CPailVeTy4L39Zaiuopap","italian hip hop","rap siciliano","trap italiana"
"Due anni fa","Tenth Sky","Due anni fa","2021-11-30",160247,38,0.654,0.355,0.397,0,0.0626,-12.637,0.0638,168.601,8,0,160247,0.509,3,"1kSspMQ30u9gHEiRlXvlMm","emo rap italiano",NA,NA
"Squarciagola (feat. Luca Carboni & LACRAY)","CanovA","Level One","2022-07-15",183593,12,0.0802,0.576,0.822,0,0.384,-5.686,0.164,153.902,4,0,183593,0.83,4,"2n3pB7ToWXhFgXUUyFdYfW","italian pop",NA,NA
"City of Gods","Fivio Foreign","City of Gods","2022-02-11",256000,65,0.102,0.474,0.801,0,0.322,-5.978,0.375,147.356,8,0,256000,0.497,4,"4huBDGP4I3S0pYI0EaRN1c","brooklyn drill","new york drill","trap"
"AUTOBUS DI NOTTE","Rkomi","TAXI DRIVER","2022-02-24",160245,31,0.113,0.727,0.84,0,0.124,-4.697,0.107,86.995,5,0,160245,0.297,4,"5m6xPiFOZm2KJdrdPtXkyv","italian hip hop","italian pop",NA
"Ginepro","DARRN","Ginepro","2022-04-22",202355,13,0.434,0.51,0.549,0.00247,0.296,-7.352,0.051,177.138,2,1,202355,0.318,4,"4qF2Iss7KKHrU26SFiQ3ha","r&b italiano",NA,NA
"Gabbiani","Ganzo","San Castrese","2022-04-29",148082,13,0.691,0.738,0.426,2.04e-06,0.155,-12.092,0.0611,92.986,4,1,148082,0.389,4,"7iOXMaptrojX3SfssI3jMj","r&b italiano",NA,NA
"Right","2Rari","Right","2022-06-09",149333,8,0.293,0.53,0.848,0,0.274,-5.454,0.255,90.4,2,1,149333,0.566,4,"0erdE6iRaKH5IfAcYAFzqg",NA,NA,NA
"Poveri Stronzi","8blevrai","Immigrato","2022-08-26",195738,33,0.163,0.422,0.677,0,0.121,-5.927,0.173,63.848,5,0,195738,0.174,4,"5Ds0ftqy4tQaWw5cUhjOi7",NA,NA,NA
"Paura di me","Axos","Paura di me","2022-03-09",156000,27,0.753,0.797,0.584,7.96e-05,0.125,-7.053,0.208,140.025,6,1,156000,0.556,4,"32LeJWii472KYzCWwCQjiZ","italian hip hop",NA,NA
"Aragona","Marcle","Aragona","2022-05-27",150000,1,0.239,0.401,0.452,6.88e-06,0.401,-10.189,0.108,77.635,2,0,150000,0.169,4,"6rqtldTsijSN4Bpu3bWHmb",NA,NA,NA
