"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Sexy Biker Mice","Piccoli Cani Squadra","Emporio Del Male","2020-01-20",117202,4,0.0209,0.632,0.876,3.63e-06,0.17,-6.01,0.169,169.641,6,1,117202,0.577,4,"69YVFSeYu3jdgGPwK2u8UQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pink Moon","Nick Drake","Pink Moon","1972-02-25",124000,71,0.871,0.642,0.427,0.0904,0.124,-8.471,0.0402,82.344,3,1,124000,0.404,4,"4KROoGIaPaR1pBHPnR3bwC","british folk","folk","melancholia","singer-songwriter",NA,NA,NA,NA,NA,NA
"Stuck In The Middle With You","Stealers Wheel","Stealers Wheel","1972-01-01",208946,80,0.0936,0.82,0.575,0.000135,0.109,-9.144,0.0408,123.765,7,1,208946,0.964,4,"3Vby4nGmtbDo7HDJamOWkT","folk rock",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maccheroni amari","Sergio Caputo","Storie Di Whisky Andati","1988-03-31",275066,7,0.509,0.672,0.336,0,0.0887,-13.619,0.0359,125.5,11,0,275066,0.547,3,"3Qj2BnneshHZV5NKM2SC2N","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gates Of Steel","DEVO","Hot Potatoes: The Best Of Devo","1993-01-01",208160,15,0.00269,0.602,0.801,0.105,0.367,-12.509,0.0337,157.347,0,1,208160,0.619,4,"50ROYncXzzTiRlroVRxR9e","alternative rock","art punk","dance rock","new romantic","new wave","new wave pop","post-punk","synth punk","synthpop","zolo"
"Tomorrow May Not Be Your Day","Various Artists","Licorice Pizza (Original Motion Picture Soundtrack)","2021-11-26",254573,29,0.817,0.659,0.712,0.00422,0.0842,-9.084,0.0844,142.701,2,1,254573,0.815,4,"23hsmt6enDYBtYHUJbz2Te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Changes - 2015 Remaster","David Bowie","Hunky Dory (2015 Remaster)","1971-12-17",217746,70,0.505,0.559,0.308,0,0.109,-11.75,0.0376,113.633,0,1,217746,0.414,4,"0LrwgdLsFaWh9VXIjBRe8t","art rock","classic rock","glam rock","permanent wave","rock",NA,NA,NA,NA,NA
"Ice Cream Girl - (featuring Wyclef Jean) Album Version","Sean Kingston","Tomorrow","2009-09-07",240266,23,0.309,0.676,0.892,0,0.105,-4.535,0.27,104.85,7,1,240266,0.742,4,"58DEliFCsqW0s7z5Xl9FT7","dance pop","miami hip hop","pop",NA,NA,NA,NA,NA,NA,NA
"The Modern Age","The Strokes","Is This It","2001-07-30",208306,59,0.0124,0.53,0.89,0.759,0.143,-6.042,0.0328,145.958,2,1,208306,0.868,4,"1EsgUWQsxGBwnu3NATDjiU","alternative rock","garage rock","modern rock","permanent wave","rock",NA,NA,NA,NA,NA
"Get It Back","Yung Lean","Frost God","2016-12-14",150920,31,0.325,0.609,0.508,1e-06,0.238,-9.913,0.0443,131.924,4,1,150920,0.31,4,"6ZCoA4PKHmec6o4n9jD3Eg","cloud rap","psychedelic hip hop","underground hip hop",NA,NA,NA,NA,NA,NA,NA
"Cado","20025xs","Idols","2021-01-21",154500,2,0.163,0.611,0.447,0.000351,0.0582,-11.614,0.366,149.99,10,1,154500,0.861,4,"7FvuxFgl7P5MjTfVQcmyIV","hyperpop italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA
